HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
62596,HD111484,5984,4.34,-0.24,-0.04,-0.1,0,-0.12
62607,HD111515,5399,4.62,-0.52,-0.38,-0.36,-0.6,-0.57
62904,HD112060,5491,3.96,0.21,0.14,0.22,0.24,0.23
63048,HD112257,5697,4.45,-0.03,0.04,0.07,-0.03,-0.02
63406,HD112914,4861,4.62,-0.33,-0.27,-0.23,-0.31,-0.34
64150,HD114174,5781,4.51,0.09,0.07,0.08,0.07,0.05
64219,HD114260,5509,4.49,-0.07,-0.06,-0.1,-0.09,-0.11
64295,HD114386,4820,4.71,-0.07,0.06,-0.01,0,0.03
64394,HD114710,6075,4.57,-0.03,0.03,0.04,0.07,0.03
64408,HD114613,5782,4.09,0.3,0.19,0.21,0.24,0.27
64426,HD114762,5953,4.54,-0.55,-0.42,-0.36,-0.65,-0.69
64457,HD114783,5135,4.53,0.21,0.09,0.11,0.12,0.1
64459,HD114729,5821,4.14,-0.33,-0.21,-0.08,-0.26,-0.3
64550,HD114853,5691,4.49,-0.32,-0.19,-0.19,-0.25,-0.29
64577,HD114946,5114,3.54,-0.23,-0.31,-0.14,-0.21,-0.24
64792,HD115383,6234,4.60,0.29,0.21,0.25,0.28,0.25
64905,HD115589,5259,4.55,0.27,0.22,0.2,0.22,0.22
64924,HD115617,5571,4.47,0.08,0.01,-0.06,0.05,-0.01
65036,HD115585,5679,4.25,0.45,0.32,0.28,0.34,0.38
65352,HD116442,5182,4.56,-0.41,-0.31,-0.29,-0.4,-0.44
65355,HD116443,5038,4.58,-0.4,-0.3,-0.27,-0.38,-0.42
65708,HD117126,5758,4.34,-0.04,0.01,0.05,-0.03,-0.04
65721,HD117176,5545,4.07,0,0.01,-0.02,-0.01,-0.04
65737,HD117105,5870,4.36,-0.31,-0.2,-0.19,-0.29,-0.32
65808,HD117207,5724,4.51,0.3,0.21,0.24,0.27,0.26
66047,HD117618,5964,4.35,0.02,0.03,0.02,0,0
66147,HD117936,4834,4.84,0.16,0.21,0.07,0.2,0.17
66238,HD117939,5671,4.46,-0.24,-0.13,-0.13,-0.21,-0.23
66618,HD118475,5898,4.36,0.18,0.12,0.06,0.1,0.09
66621,HD118914,5728,4.30,0.17,0.13,0.1,0.15,0.17
66765,HD118972,5191,4.54,-0.11,-0.03,-0.08,0,-0.08
67246,HD120066,5873,4.23,0,0.11,0.21,0.11,0.12
67275,HD120136,6387,4.26,0.27,0.24,0.12,0.23,0.2
67408,HD120237,6127,4.42,-0.03,0,-0.02,-0.03,-0.03
67422,HD120476,4729,5.09,-0.2,0.1,-0.08,-0.18,-0.04
67620,HD120690,5751,4.52,-0.03,0.01,0,0.05,0.01
67742,HD120780,5008,4.53,-0.29,-0.24,-0.26,-0.26,-0.29
67904,HD121320,5548,4.54,-0.34,-0.22,-0.22,-0.25,-0.32
68030,HD121560,6027,4.27,-0.42,-0.35,-0.35,-0.42,-0.48
68101,HD121384,5276,3.80,-0.41,-0.42,-0.31,-0.41,-0.43
68184,HD122064,4757,4.58,0.22,0.17,0,0.18,0.23
68593,HD122652,6093,4.24,-0.07,-0.01,-0.02,0,-0.06
68634,HD122676,5593,4.56,-0.06,0.01,-0.05,-0.02,-0.04
68682,HD122742,5508,4.49,0.03,0.01,-0.08,0.01,0
69090,HD122862,5957,4.13,-0.14,-0.1,-0.09,-0.13,-0.15
69340,HD124115,6579,4.69,-0.11,0.18,0.08,0.23,0.19
69357,HD124106,5117,4.58,-0.16,-0.1,-0.1,-0.1,-0.19
69414,HD124292,5501,4.65,-0.06,-0.05,-0.06,-0.08,-0.1
69518,HD124694,6175,4.34,-0.07,0.01,-0.05,0.04,-0.06
69751,HD125040,6296,4.26,-0.1,0.01,-0.03,0.04,-0.19
69796,HD124584,5933,4.21,-0.04,-0.03,-0.05,-0.06,-0.07
69881,HD125184,5691,4.16,0.3,0.24,0.28,0.32,0.31
69972,HD125072,4903,4.69,0.43,0.3,0.16,0.32,0.36
70016,HD125455,5109,4.53,-0.15,-0.15,-0.13,-0.18,-0.21
70319,HD126053,5640,4.52,-0.37,-0.25,-0.27,-0.35,-0.37
70459,HD125881,6004,4.38,0.03,0.04,0.01,0.05,0.02
70623,HD126614,5594,4.44,0.71,0.52,0.49,0.56,0.61
70782,HD126961,6147,4.28,0.04,0.11,0.07,0.11,0.07
70873,HD127334,5744,4.37,0.32,0.23,0.2,0.27,0.28
71181,HD128165,4809,4.67,0.01,0.07,-0.07,0,-0.02
71284,HD128167,6566,4.19,-0.44,-0.35,-0.39,-0.43,-0.55
71395,HD128311,4965,4.83,0.08,0.27,0.07,0.2,0.17
71462,HD128428,5739,4.34,0.64,0.4,0.44,0.47,0.51
71631,HD129333,5845,4.47,-0.04,-0.04,0.15,0.16,-0.04
71681,HD128621,5178,4.56,0.29,0.23,0.12,0.23,0.25
71683,HD128620,5801,4.33,0.31,0.23,0.18,0.21,0.26
71735,HD128674,5534,4.54,-0.36,-0.28,-0.3,-0.39,-0.4
71774,HD129010,6052,4.01,0.03,0.08,0.18,0.1,0.07
71803,HD129191,5817,4.41,0.37,0.25,0.18,0.24,0.28
72043,HD129814,5844,4.41,0.01,0.01,0.03,0,-0.02
72048,HD129060,6127,4.29,-0.01,0.02,-0.03,0.07,-0.03
72190,HD130087,6057,4.27,0.39,0.28,0.26,0.28,0.33
72312,HD130307,5024,4.62,-0.23,-0.11,-0.16,-0.16,-0.23
72339,HD130322,5308,4.41,-0.02,0,-0.11,0.01,-0.04
72567,HD130948,6059,4.58,-0.1,0,-0.01,0.05,-0.04
72577,HD130871,4878,4.71,-0.18,-0.06,-0.14,-0.16,-0.2
72659,HD131156A,5570,4.65,-0.17,-0.12,-0.1,-0.04,-0.17
72688,HD130992,4833,4.70,-0.04,0.06,-0.05,-0.01,-0.05
72772,HD131117,5973,4.06,0.15,0.11,0.19,0.14,0.14
72830,HD131509,5112,3.84,-0.14,-0.19,-0.02,-0.11,-0.15
72848,HD131511,5335,4.60,0.09,0.14,0.04,0.17,0.12
73005,HD132142,5122,4.60,-0.33,-0.2,-0.22,-0.45,-0.4
73184,HD131977,4744,4.76,0.14,0.02,0.1,0.12,0.1
73241,HD131923,5702,4.44,0.09,0.1,0.13,0.11,0.1
73269,HD132173,6254,4.50,-0.11,-0.02,0,0.05,-0.05
73309,HD132375,6202,4.08,0.02,0.07,0.07,0.07,0.02
73593,HD133161,5959,4.24,0.3,0.22,0.15,0.21,0.24
73754,HD133295,6089,4.43,-0.21,-0.06,-0.01,0.01,-0.13
73869,HD134319,5662,4.52,-0.22,-0.04,-0.2,0.03,-0.16
73941,HD134044,6148,4.23,0.01,0.06,0.04,0.05,0.03
73996,HD134083,6435,4.19,0.18,0,-0.14,-0.02,-0.37
74234,HD134440,4796,4.64,-1.92,-1.42,-1.21,-1.41,-1.6
74235,HD134439,4896,4.55,-2,-1.59,-1.3,-1.48,-1.68
74268,HD134331,5943,4.38,0.07,0.08,0.06,0.08,0.07
74271,HD134330,5658,4.55,0.07,0.09,0.07,0.13,0.1
74273,HD134060,5914,4.37,0.1,0.1,0.08,0.09,0.1
74432,HD135101,5705,4.36,0.05,0.11,0.18,0.08,0.09
74500,HD134987,5750,4.35,0.4,0.28,0.23,0.28,0.33
74653,HD134606,5648,4.41,0.4,0.3,0.25,0.29,0.33
74702,HD135599,5221,4.46,-0.14,-0.1,-0.09,-0.05,-0.15
74948,HD136118,6097,4.05,-0.11,-0.05,-0.02,-0.05,-0.12
75039,HD136580,6227,4.22,-0.13,-0.09,-0.11,-0.11,-0.15
75101,HD136442,4889,3.91,0.48,0.31,0.27,0.43,0.42
75104,HD136654,6235,4.12,0.01,0.09,0.03,0.09,0.02
75158,HD136544,6351,4.19,0.19,0.16,0.13,0.17,0.14
75181,HD136352,5672,4.58,-0.27,-0.16,-0.14,-0.34,-0.32
75253,HD136713,4981,4.62,0.4,0.24,0.15,0.22,0.24
75266,HD136834,4994,4.58,0.45,0.27,0.14,0.28,0.26
75277,HD136923,5379,4.58,-0.08,-0.07,-0.07,-0.07,-0.12
75281,HD136925,5717,4.51,-0.22,-0.1,-0.02,-0.29,-0.26
75535,HD137510,5966,3.99,0.5,0.35,0.3,0.37,0.41
75676,HD138004,5742,4.49,-0.12,-0.07,-0.06,-0.09,-0.14
75722,HD137778,5185,4.60,0.36,0.21,0.16,0.28,0.24
75762,HD137812,5303,4.14,-0.08,-0.05,0.08,0.04,-0.01
75829,HD139813,5491,4.71,-0.02,0.03,0.11,0.14,0.03
76114,HD138573,5722,4.45,-0.02,-0.01,-0.05,-0.03,-0.04
76200,HD138549,5534,4.43,0.04,0.01,-0.03,0,0
76228,HD138776,5681,4.31,0.5,0.35,0.3,0.38,0.43
76315,HD139477,4714,4.88,-0.12,0.17,-0.05,0.11,0.05
76375,HD139323,5099,4.65,0.45,0.35,0.24,0.37,0.37
76398,HD139324,5935,4.26,0.19,0.13,0.12,0.15,0.17
76543,HD139457,5957,3.99,-0.5,-0.4,-0.32,-0.48,-0.55
77052,HD140538,5653,4.44,-0.04,0.06,0.08,0.08,0.03
77152,HD140913,6048,4.57,-0.02,0.06,0.06,0.13,0.05
77257,HD141004,5936,4.30,0.08,0.08,0.02,0.05,0.02
77325,HD140785,5771,4.13,-0.09,-0.04,-0.01,-0.01,-0.05
77335,HD141103,6087,4.01,-0.32,-0.26,-0.25,-0.31,-0.38
77358,HD140901,5627,4.53,0.11,0.09,0.07,0.1,0.1
77740,HD141937,5847,4.42,0.04,0.1,0.09,0.13,0.1
77760,HD142373,5861,4.14,-0.53,-0.33,-0.26,-0.44,-0.51
77801,HD142267,5756,4.48,-0.48,-0.35,-0.35,-0.43,-0.48
77810,HD142229,5930,4.50,-0.09,-0.02,0.05,0.05,-0.05
78072,HD142860,6262,4.18,-0.09,-0.11,-0.14,-0.18,-0.21
78169,HD142415,5902,4.38,0.01,0.08,0.04,0.09,0.04
78241,HD143291,5221,4.55,-0.45,-0.32,-0.32,-0.44,-0.47
78330,HD143114,5869,4.57,-0.32,-0.2,-0.12,-0.38,-0.36
78459,HD143761,5823,4.36,-0.23,-0.09,-0.06,-0.2,-0.21
78775,HD144579,5214,4.71,-0.57,-0.36,-0.39,-0.69,-0.62
78955,HD144585,5854,4.33,0.36,0.3,0.32,0.31,0.35
79143,HD144009,5595,4.48,0.05,0.07,0.02,0.06,0.06
79152,HD145435,6110,4.15,-0.01,0.04,0.01,0.03,-0.01
79165,HD145229,5885,4.37,-0.25,-0.19,-0.21,-0.16,-0.28
79190,HD144628,5021,4.54,-0.41,-0.32,-0.28,-0.41,-0.42
79214,HD144988,5862,3.86,-0.22,-0.19,-0.06,-0.18,-0.22
79248,HD145675,5388,4.52,0.62,0.42,0.4,0.46,0.49
79492,HD145958,5436,4.55,-0.07,-0.02,-0.05,-0.03,-0.06
79524,HD145809,5780,4.16,-0.29,-0.22,-0.09,-0.24,-0.29
79578,HD145825,5803,4.49,-0.01,0.04,0.01,0.03,0.02
79619,HD147231,5636,4.51,0.01,0.05,0.07,0,-0.01
79672,HD146233,5791,4.41,0.01,0.03,0.03,0.03,0.01
79862,HD147044,5884,4.40,-0.05,-0.02,-0.03,-0.01,-0.05
79946,HD146775,5806,4.33,-0.08,-0.09,-0.12,-0.1,-0.11
79967,HD146481,5675,4.24,-0.39,-0.26,-0.11,-0.44,-0.4
80218,HD147512,5519,4.48,-0.01,-0.03,-0.05,-0.06,-0.07
80337,HD147513,5930,4.61,-0.12,0.01,0.15,0.09,0.01
80366,HD147776,4880,4.72,-0.32,-0.17,-0.21,-0.29,-0.36
80399,HD147722,5971,4.28,0.09,0.11,0.09,0.11,0.11
80687,HD148427,5035,3.61,0.08,-0.03,0.07,0.17,0.15
81062,HD149200,6203,4.16,-0.05,0.09,0.15,0.11,0.07
81279,HD149652,6321,4.23,-0.06,-0.05,-0.03,-0.06,-0.11
81300,HD149661,5277,4.57,0.07,0.04,0.03,0.07,0.02
81347,HD149724,5738,4.29,0.53,0.38,0.38,0.41,0.45
81375,HD149806,5359,4.54,0.29,0.19,0.15,0.21,0.22
81520,HD149612,5726,4.62,-0.45,-0.37,-0.36,-0.45,-0.47
81662,HD150554,6010,4.29,-0.14,0,-0.05,0,-0.06
81681,HD150433,5649,4.56,-0.3,-0.16,-0.09,-0.38,-0.33
81746,HD150248,5694,4.45,-0.12,-0.04,-0.08,-0.11,-0.11
81767,HD150437,5811,4.30,0.42,0.29,0.26,0.3,0.36
81800,HD151044,6096,4.30,-0.07,-0.01,-0.05,0.01,-0.04
81813,HD151541,5332,4.57,-0.22,-0.16,-0.16,-0.19,-0.22
81819,HD150474,5459,4.13,-0.04,0.01,0.06,0.05,0.02
81880,HD150933,6114,4.26,0.21,0.15,0.15,0.15,0.17
81910,HD150698,5878,4.12,0.28,0.2,0.21,0.24,0.25
81991,HD151090,5060,3.86,-0.28,-0.24,-0.07,-0.2,-0.24
82267,HD151877,5212,4.54,-0.12,-0.14,-0.13,-0.14,-0.18
82302,HD151337,5056,3.71,-0.05,-0.12,-0.02,-0.02,-0.02
82389,HD151995,4832,4.72,0.13,0.15,0.02,0.04,0
82568,HD152446,6216,4.12,-0.11,-0.06,-0.01,-0.07,-0.14
82588,HD152391,5479,4.57,-0.06,-0.03,0,0.04,-0.07
82636,HD152792,5698,4.03,-0.33,-0.26,-0.15,-0.31,-0.34
82688,HD152555,5967,4.46,-0.26,-0.02,-0.04,0.05,-0.07
83181,HD153458,5907,4.59,0.09,0.1,0.13,0.16,0.1
83204,HD153627,5943,4.34,-0.29,-0.22,-0.2,-0.29,-0.33
83229,HD153075,5781,4.48,-0.43,-0.29,-0.21,-0.55,-0.5
83389,HD154345,5468,4.54,-0.1,-0.1,-0.13,-0.1,-0.14
83435,HD154160,5650,4.12,0.51,0.35,0.37,0.43,0.47
83541,HD154088,5409,4.46,0.43,0.29,0.27,0.31,0.34
83601,HD154417,5989,4.30,-0.05,0,-0.02,0.04,-0.05
83827,HD155060,6009,4.37,-0.13,-0.09,-0.09,-0.11,-0.16
83906,HD154962,5784,4.10,0.48,0.3,0.28,0.33,0.39
83990,HD154577,4881,4.61,-0.67,-0.54,-0.55,-0.69,-0.68
84069,HD154857,5606,3.99,-0.24,-0.19,-0.15,-0.22,-0.23
84082,HD155423,6210,4.22,0.42,0.29,0.29,0.32,0.33
84489,HD155974,6275,4.19,-0.22,-0.12,-0.12,-0.17,-0.25
84636,HD156365,5856,4.09,0.43,0.27,0.28,0.29,0.34
84720,HD156274,5256,4.61,-0.35,-0.24,-0.23,-0.34,-0.35
84801,HD156826,5249,3.79,-0.18,-0.24,-0.04,-0.13,-0.17
84862,HD157214,5697,4.50,-0.27,-0.11,-0.12,-0.36,-0.32
84988,HD155918,5752,4.61,-0.53,-0.37,-0.32,-0.64,-0.61
85007,HD157466,5962,4.31,-0.44,-0.4,-0.38,-0.42,-0.49
85017,HD157172,5490,4.53,0.16,0.15,0.16,0.17,0.16
85042,HD157347,5714,4.50,0.02,-0.04,0.03,0.03,0.04
85158,HD157338,5961,4.28,-0.09,-0.07,-0.1,-0.08,-0.13
85235,HD158633,5302,4.66,-0.41,-0.34,-0.35,-0.4,-0.45
85397,HD157968,6320,4.09,0.23,0.17,0.19,0.17,0.14
85799,HD159063,6215,4.18,0.21,0.21,0.22,0.22,0.19
85810,HD159222,5743,4.26,0.08,0.1,0.03,0.1,0.1
85969,HD158783,5804,4.20,0.14,0.1,0.12,0.13,0.12
86193,HD159909,5723,4.40,0.06,0.07,0.1,0.08,0.06
86375,HD159868,5623,4.05,-0.01,-0.02,0.02,0,-0.01
86431,HD160693,5820,4.51,-0.43,-0.34,-0.23,-0.5,-0.52
86540,HD161897,5623,4.58,-0.04,-0.01,0.02,0.03,-0.02
86796,HD160691,5784,4.30,0.4,0.28,0.26,0.29,0.34
86974,HD161797A,5597,4.10,0.33,0.27,0.22,0.3,0.32
86985,HD161555,5820,4.06,0.17,0.11,0.14,0.13,0.14
87089,HD161848,5075,4.59,-0.29,-0.2,-0.2,-0.39,-0.36
87100,HD161050,5980,4.14,-0.05,-0.03,0,-0.05,-0.07
87116,HD161612,5600,4.52,0.14,0.17,0.11,0.14,0.14
87330,HD162020,4845,4.90,-0.13,0.04,-0.01,0.11,0.05
87370,HD162255,5835,4.25,0.18,0.11,0.09,0.1,0.13
87382,HD162826,6162,4.29,0.02,0.03,0.06,0.03,0
87678,HD163102,6206,4.17,-0.09,0.01,0.01,-0.03,-0.09
87710,HD163153,5744,4.35,0.59,0.4,0.44,0.49,0.51
87824,HD163272,5945,4.22,0.26,0.24,0.14,0.23,0.26
88194,HD164595,5745,4.50,-0.08,-0.03,-0.04,-0.06,-0.08
88217,HD164507,5647,3.93,0.16,0.1,0.21,0.19,0.18
88348,HD164922,5385,4.51,0.17,0.16,0.21,0.17,0.15
88531,HD164427,5954,4.28,0.18,0.12,0.1,0.13,0.15
88533,HD165567,6258,3.99,0.05,0.02,0.05,0.06,-0.03
88683,HD165269,6047,4.09,0.4,0.27,0.23,0.27,0.3
88945,HD166435,5843,4.44,-0.05,-0.04,0.01,0.04,-0.09
88972,HD166620,5000,4.47,-0.09,-0.13,-0.07,-0.18,-0.19
89269,HD166553,5960,4.17,0.07,0.02,0.07,0.04,0.02
89270,HD167215,6088,4.08,-0.42,-0.27,-0.21,-0.3,-0.4
89282,HD167389,5911,4.47,-0.09,0,0,0.02,-0.06
89474,HD168009,5767,4.31,0.03,0,-0.07,0,0
89620,HD167665,6115,4.22,-0.18,-0.12,-0.09,-0.17,-0.2
89844,HD168443,5580,4.25,0.07,0.1,0.12,0.08,0.08
89855,HD168060,5620,4.18,0.27,0.26,0.25,0.28,0.31
89962,HD168723,4975,3.29,-0.1,-0.22,-0.1,-0.05,-0.09
90004,HD168746,5564,4.52,-0.07,0.03,0.08,-0.08,-0.07
90223,HD168871,5964,4.37,-0.1,-0.06,-0.05,-0.09,-0.11
90355,HD169822,5592,4.44,-0.1,-0.1,-0.02,-0.12,-0.16
90397,HD169586,6214,4.13,0.41,0.25,0.14,0.23,0.27
90485,HD169830,6221,4.06,0.06,0.11,0.2,0.15,0.09
90586,HD170778,5912,4.37,-0.14,-0.05,-0.03,0,-0.1
90593,HD170469,5811,4.39,0.4,0.3,0.29,0.3,0.35
90656,HD170493,4770,4.79,0.38,0.27,0.17,0.35,0.37
90729,HD170829,5398,3.93,0.06,0.05,0.08,0.13,0.1
90790,HD170657,5103,4.61,-0.16,-0.13,-0.14,-0.15,-0.22
90864,HD171067,5643,4.5,-0.06,-0.04,-0.05,-0.03,-0.06
91287,HD171665,5651,4.48,-0.06,-0.04,-0.03,-0.04,-0.07
91332,HD171918,5775,4.28,0.2,0.18,0.23,0.22,0.23
91381,HD172310,5414,4.6,-0.37,-0.32,-0.34,-0.42,-0.43
91438,HD172051,5564,4.5,-0.28,-0.2,-0.23,-0.26,-0.3
91507,HD172649,6236,4.41,-0.17,-0.05,-0.04,-0.03,-0.15
91700,HD172513,5531,4.51,-0.09,-0.03,-0.02,-0.01,-0.06
91949,HD173701,5399,4.53,0.52,0.32,0.27,0.32,0.36
92043,HD173667,6423,3.98,0.06,0.03,-0.06,0.03,-0.06
92283,HD174080,4750,4.84,0.05,0.18,0.04,0.22,0.18
92418,HD174457,5852,4.08,-0.19,-0.18,-0.06,-0.18,-0.23
92532,HD174912,5861,4.45,-0.43,-0.39,-0.4,-0.48,-0.51
92882,HD175317,6362,3.99,0.01,0.02,-0.03,0.03,-0.06
92895,HD175541,5055,3.52,-0.16,-0.19,-0.08,-0.07,-0.12
92918,HD175518,5577,4.42,0.34,0.24,0.22,0.29,0.27
92929,HD175345,6125,4.31,-0.14,-0.06,-0.12,-0.09,-0.14
