HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
107350,HD206860,5974,4.47,-0.07,-0.02,-0.03,-0.02,-0.09
107649,HD207129,5889,4.42,-0.09,-0.01,-0.04,-0.03,-0.07
107941,HD207874,5148,4.50,0.12,0.13,0.1,0.11,0.09
108156,HD208313,5033,4.54,-0.02,-0.04,-0.04,-0.04,-0.08
108158,HD207700,5680,4.39,0.08,0.11,0.11,0.04,0.07
108375,HD208487,6067,4.34,-0.01,0.04,0.03,0.02,-0.01
108473,HD208776,5977,4.00,-0.07,-0.09,0.01,-0.05,-0.1
108506,HD208801,4915,3.87,0.16,0.1,0.11,0.16,0.18
108736,HD208998,5901,4.42,-0.25,-0.13,0.01,-0.32,-0.28
108774,HD209393,5541,4.38,-0.31,-0.18,-0.2,-0.17,-0.27
108809,HD209253,6109,4.20,-0.35,-0.1,-0.35,-0.09,-0.26
108859,HD209458,6099,4.38,-0.04,0.04,0.08,0.01,-0.04
108903,HD209268,6028,4.12,-0.13,-0.05,-0.01,-0.08,-0.11
109110,HD209779,5718,4.25,-0.04,-0.03,-0.12,0.02,-0.07
109144,HD209875,6098,4.11,-0.17,-0.09,-0.04,-0.11,-0.17
109169,HD211681,5839,4.32,0.56,0.38,0.39,0.45,0.48
109214,HD209653,6002,4.24,-0.09,-0.05,-0.01,-0.1,-0.12
109355,HD210312,5760,4.47,0.28,0.24,0.22,0.28,0.29
109378,HD210277,5555,4.49,0.24,0.22,0.22,0.21,0.21
109422,HD210302,6339,4.15,0.07,0.08,0.08,0.09,0.02
109439,HD210460,5658,3.95,-0.23,-0.2,-0.02,-0.12,-0.22
109527,HD210667,5462,4.56,0.29,0.19,0.18,0.23,0.2
109572,HD210855,6261,3.93,0.26,0.17,0.25,0.19,0.14
109646,HD210752,5835,4.37,-0.62,-0.54,-0.5,-0.64,-0.69
109822,HD211038,5009,3.87,-0.17,-0.15,0,-0.22,-0.2
109821,HD210918,5735,4.38,-0.15,-0.06,-0.05,-0.11,-0.13
109836,HD211080,5820,4.19,0.44,0.3,0.35,0.39,0.41
110161,HD211317,5910,4.23,0.38,0.25,0.21,0.24,0.29
110508,HD212291,5602,4.56,-0.22,-0.13,-0.1,-0.12,-0.19
110649,HD212330,5739,4.15,-0.05,0.02,0.05,0.05,0.02
110712,HD212168,5897,4.33,-0.05,0,-0.03,-0.01,-0.03
110843,HD212708,5689,4.39,0.4,0.28,0.23,0.29,0.32
110853,HD212801,5456,3.98,0,0,0.16,0.12,0.06
111136,HD213472,5799,4.30,0.04,0.12,0.2,0.16,0.13
111143,HD213240,5968,4.22,0.19,0.14,0.16,0.14,0.16
111148,HD213519,5832,4.44,0,0.01,0.02,0,0
111274,HD213575,5668,4.33,-0.07,-0.02,0.05,-0.12,-0.11
111349,HD213628,5579,4.53,0.06,0.03,0,0.03,0.01
111748,HD214557,5997,4.09,0.06,0.04,0.06,0.07,0.03
111978,HD214759,5434,4.44,0.28,0.18,0.1,0.18,0.2
112117,HD214953,6049,4.29,0,0.05,0.03,0.03,0.01
112447,HD215648,5136,3.37,-0.19,-0.15,-0.12,-0.22,-0.3
112812,HD216275,5863,4.38,-0.26,-0.14,-0.14,-0.16,-0.23
112870,HD216259,4969,4.81,-0.61,-0.37,-0.35,-0.63,-0.65
113044,HD216435,5999,4.15,0.28,0.22,0.24,0.24,0.27
113086,HD216625,6212,4.33,-0.01,0.05,0.08,0.05,0
113137,HD216437,5849,4.23,0.29,0.22,0.2,0.22,0.25
113357,HD217014,5787,4.45,0.3,0.22,0.14,0.2,0.23
113386,HD217004,5694,3.99,-0.07,-0.05,-0.01,-0.05,-0.07
113421,HD217107,5704,4.54,0.43,0.35,0.32,0.39,0.39
113438,HD217165,5936,4.39,-0.05,0,0.01,0.01,-0.03
113695,HD217618,5714,4.30,0.47,0.33,0.31,0.35,0.39
113829,HD217813,5885,4.50,-0.08,0.02,0.09,0.07,-0.03
113896,HD217877,5953,4.29,-0.07,-0.06,-0.08,-0.11,-0.13
113905,HD218168,5879,4.39,-0.2,-0.06,-0.07,-0.01,-0.12
113948,HD217958,5962,4.40,0.45,0.32,0.3,0.31,0.38
113989,HD218209,5585,4.60,-0.36,-0.26,-0.23,-0.46,-0.45
113994,HD218101,5301,3.99,0.18,0.06,0.19,0.2,0.17
114028,HD218133,5923,4.23,-0.08,-0.06,-0.02,-0.07,-0.08
114081,HD218235,6539,4.34,0.38,0.28,0.24,0.23,0.24
114096,HD218261,6226,4.40,0.24,0.15,0.12,0.15,0.13
114322,HD218566,4927,4.81,0.38,0.33,0.23,0.38,0.37
114378,HD218687,5905,4.35,-0.18,-0.08,-0.07,-0.08,-0.14
114424,HD218730,5900,4.35,-0.01,0.08,0.05,0.1,0.05
114456,HD218868,5540,4.45,0.24,0.22,0.18,0.21,0.23
114622,HD219134,4835,4.56,0.13,0.02,0.02,0.12,0.09
114670,HD219172,6145,4.30,0.06,0.11,0.09,0.12,0.09
114699,HD219077,5364,4.05,-0.17,-0.1,-0.05,-0.12,-0.13
114834,HD219420,6120,4.33,-0.03,-0.01,-0.04,-0.04,-0.07
114886,HD219538,5078,4.50,0.02,-0.04,-0.07,-0.04,-0.08
114914,HD219542,5710,4.44,0.08,0.14,0.13,0.16,0.14
115279,HD220077,5840,4.37,-0.36,-0.3,-0.23,-0.34,-0.43
115445,HD220339,4975,4.53,-0.25,-0.28,-0.24,-0.31,-0.35
115577,HD220507,5687,4.35,0.06,0.08,0.1,0.02,0.02
115951,HD221146,5903,4.34,0.11,0.12,0.11,0.11,0.12
