Name,Teff,log(g),[Na/H],[Si/H],[Ti/H],[Fe/H],[Ni/H]
HD225261,5265,4.59,-0.35,-0.25,-0.28,-0.44,-0.43
HD105,6126,4.65,-0.20,-0.02,0.05,0.08,-0.06
HD142,6249,4.19,0.07,0.10,0.07,0.10,0.04
HD166,5577,4.58,0.10,0.08,0.11,0.18,0.11
HD283,5094,4.57,-0.56,-0.38,-0.45,-0.55,-0.56
HD377,5873,4.28,0.00,0.05,0.07,0.15,0.04
HD400,6152,4.19,-0.30,-0.17,-0.14,-0.21,-0.29
HD531,5778,4.71,0.05,0.10,0.24,0.21,0.07
BD+079s,5707,4.62,-0.01,0.09,0.16,0.18,0.04
HD691,5633,4.66,0.18,0.20,0.26,0.32,0.23
HD984,6490,4.83,-0.06,0.05,-0.03,0.09,0.01
HD1388,5952,4.42,-0.09,-0.01,0.02,0.00,-0.04
HD1461,5765,4.41,0.29,0.19,0.17,0.18,0.22
HD1581,5948,4.46,-0.22,-0.15,-0.15,-0.22,-0.24
HD1835,5837,4.47,0.26,0.19,0.13,0.25,0.20
HD1832,5731,4.27,-0.07,-0.04,-0.04,-0.03,-0.06
HD2039,5941,4.38,0.41,0.33,0.25,0.32,0.34
HD2025,4865,4.61,-0.27,-0.19,-0.24,-0.29,-0.33
HD2071,5693,4.46,-0.11,-0.07,-0.11,-0.09,-0.12
HD2151,5873,4.08,-0.05,-0.06,-0.02,-0.07,-0.08
HD2587,5572,4.36,0.28,0.27,0.18,0.26,0.31
HD2589,5120,3.96,-0.11,-0.06,0.03,-0.04,-0.06
HD3074,5911,4.12,-0.01,0.02,-0.03,0.00,-0.02
HD3079,6071,4.24,-0.05,-0.03,-0.02,-0.08,-0.11
HD3277,5539,4.47,-0.05,-0.05,-0.08,-0.07,-0.08
HD3651,5221,4.45,0.24,0.13,0.11,0.16,0.16
HD3674,6209,4.28,0.01,0.09,0.06,0.09,0.03
HD3770,6111,4.10,-0.02,0.00,0.03,-0.01,-0.05
HD3823,6014,4.23,-0.29,-0.21,-0.14,-0.27,-0.30
HD3795,5369,4.16,-0.47,-0.36,-0.26,-0.58,-0.54
HD3821,5828,4.46,-0.19,-0.09,-0.07,-0.06,-0.15
HD3765,5032,4.59,0.21,0.16,0.09,0.18,0.14
HD3861,6223,4.26,-0.03,0.08,0.06,0.08,0.01
HD4208,5600,4.52,-0.27,-0.21,-0.23,-0.28,-0.31
HD4308,5695,4.58,-0.24,-0.12,-0.09,-0.31,-0.27
HD4203,5702,4.36,0.50,0.40,0.40,0.45,0.47
HD4256,4930,4.80,0.27,0.29,0.24,0.34,0.32
HD4271,6149,4.28,0.01,0.02,0.02,0.02,-0.04
HD4307,5839,4.10,-0.29,-0.18,-0.07,-0.19,-0.22
HD4628,4944,4.51,-0.27,-0.28,-0.23,-0.27,-0.30
HD4614,5941,4.44,-0.22,-0.19,-0.20,-0.25,-0.27
HD4747,5335,4.65,-0.29,-0.19,-0.22,-0.22,-0.29
HD4915,5650,4.57,-0.24,-0.15,-0.16,-0.19,-0.24
HD4903,6086,4.15,-0.07,-0.02,0.01,-0.03,-0.07
HD5065,5957,4.13,-0.10,-0.04,0.02,-0.05,-0.07
HD5133,4968,4.80,-0.15,0.03,-0.06,-0.04,-0.10
HD5372,5877,4.40,0.28,0.22,0.18,0.21,0.24
HD5562,5453,4.15,0.18,0.16,0.17,0.22,0.20
HD5470,5966,4.32,0.30,0.23,0.12,0.24,0.26
HD6558,6086,4.26,0.29,0.25,0.25,0.26,0.28
HD6735,6085,4.45,-0.12,-0.04,-0.06,-0.07,-0.12
HD6706,6540,4.18,0.17,0.15,0.45,0.26,0.00
HD6734,5067,3.81,-0.25,-0.27,-0.10,-0.41,-0.37
HD6872B,6333,4.37,-0.09,-0.10,-0.01,-0.06,-0.14
HD6872,6409,4.21,-0.23,-0.10,-0.08,-0.05,-0.17
HD6963,5495,4.54,-0.31,-0.19,-0.19,-0.15,-0.25
HD7199,5382,4.44,0.49,0.33,0.28,0.36,0.40
HD7047,5898,4.25,-0.05,-0.07,-0.08,-0.09,-0.11
HD7228,6153,4.07,-0.08,-0.03,0.01,-0.05,-0.11
HD7693,4982,4.78,0.12,0.25,0.00,0.23,0.18
HD7570,6116,4.33,0.17,0.17,0.13,0.16,0.16
HD7661,5421,4.46,-0.06,0.00,-0.01,0.06,-0.04
HD7590,6031,4.54,-0.21,-0.05,-0.03,-0.03,-0.13
HD7727,6022,4.25,0.00,0.05,0.01,0.05,0.01
HD8038,5689,4.51,0.11,0.14,0.13,0.18,0.16
BD-12243,5421,4.56,-0.05,-0.05,-0.01,0.06,-0.05
HD7924,5177,4.58,-0.16,-0.16,-0.13,-0.15,-0.22
HD8262,5761,4.46,-0.21,-0.12,-0.16,-0.16,-0.20
HD8331,5695,4.05,-0.08,-0.02,0.02,-0.01,-0.03
HD8328,5817,4.19,0.46,0.31,0.27,0.36,0.41
HD8574,6050,4.20,-0.03,0.00,0.04,-0.01,-0.03
HD8648,5790,4.35,0.20,0.16,0.14,0.17,0.18
HD8673,6340,4.21,0.13,0.17,0.06,0.15,0.05
HD8765,5590,4.23,0.28,0.17,0.16,0.19,0.17
HD8941,6226,4.05,0.24,0.17,0.16,0.19,0.14
HD8907,6204,4.35,-0.28,-0.08,-0.12,-0.02,-0.17
HD9070,5657,4.36,0.31,0.30,0.22,0.30,0.31
HD9280,5759,4.42,0.34,0.35,0.35,0.38,0.37
HD9224,5843,4.24,0.00,0.00,0.00,0.00,0.00
HD9331,5484,4.32,0.08,0.17,0.04,0.13,0.09
HD9540,5462,4.56,-0.09,-0.06,-0.04,-0.02,-0.09
HD9472,5867,4.67,-0.10,-0.02,0.05,0.05,-0.06
HD9562,5939,4.13,0.31,0.21,0.23,0.26,0.28
HD9407,5657,4.48,0.04,0.04,0.00,0.02,0.02
HD9826,6213,4.25,0.15,0.17,0.17,0.15,0.13
HD10002,5281,4.45,0.25,0.20,0.20,0.20,0.19
HD9986,5805,4.45,0.04,0.07,0.05,0.08,0.05
HD10180,5890,4.37,0.14,0.09,0.03,0.08,0.08
HD10126,5537,4.49,0.03,0.02,0.01,0.02,0.01
HD10086,5725,4.46,0.05,0.07,0.07,0.12,0.07
HD10360,5016,4.59,-0.21,-0.22,-0.21,-0.23,-0.26
HD10361,5096,4.61,-0.20,-0.20,-0.18,-0.22,-0.25
HD10145,5638,4.44,-0.06,0.01,0.02,-0.01,-0.05
HD10647,6105,4.34,-0.18,-0.08,-0.11,-0.08,-0.15
HD10476,5181,4.53,-0.02,-0.04,-0.04,-0.04,-0.08
HD10700,5283,4.59,-0.45,-0.31,-0.31,-0.52,-0.49
HD10697,5680,4.12,0.17,0.13,0.15,0.19,0.17
HD11020,5173,4.62,-0.16,-0.06,-0.08,-0.28,-0.24
HD10780,5327,4.54,-0.05,0.01,-0.02,0.03,-0.03
HD11112,5890,4.24,0.28,0.19,0.15,0.20,0.23
HD11226,6012,4.20,0.05,0.02,0.02,0.03,0.00
HD11151,6405,4.00,0.11,0.11,0.26,0.20,-0.07
HD11505,5758,4.44,-0.16,-0.07,-0.03,-0.22,-0.20
HD11850,5663,4.55,-0.07,0.03,0.05,0.09,-0.01
HD11964,5349,4.03,0.01,0.03,0.10,0.12,0.10
HD12051,5495,4.62,0.21,0.23,0.18,0.26,0.21
HD12235,6097,4.29,0.46,0.32,0.27,0.33,0.36
HD12387,5716,4.52,-0.15,-0.07,-0.05,-0.23,-0.20
HD12328,4919,3.70,-0.12,-0.09,-0.01,0.02,0.03
HD12414,6158,4.04,-0.40,-0.29,-0.25,-0.34,-0.44
HD12661,5743,4.42,0.51,0.35,0.32,0.36,0.42
HD12846,5626,4.42,-0.29,-0.20,-0.19,-0.28,-0.29
HD13043,5897,4.27,0.13,0.09,0.10,0.09,0.09
HD13445,5151,4.59,-0.24,-0.16,-0.17,-0.27,-0.28
BD+13343B,5442,4.53,-0.04,-0.01,0.01,0.02,-0.03
HD13357,5696,4.47,-0.11,-0.02,-0.04,-0.01,-0.07
HD13612B,5741,4.50,0.12,0.11,0.11,0.13,0.13
HD13507,5755,4.56,-0.10,-0.03,0.01,0.03,-0.06
HD13531,5621,4.52,-0.12,-0.06,-0.04,0.01,-0.10
BD-01306,5625,4.67,-1.00,-0.61,-0.59,-0.96,-0.99
HD13825,5711,4.44,0.31,0.19,0.16,0.19,0.24
HD13579,5211,4.59,0.47,0.30,0.26,0.35,0.35
HD13931,5830,4.30,0.03,0.04,0.06,0.03,0.02
HD14082B,5975,4.59,-0.12,0.00,0.05,0.07,-0.03
HD14082,6219,4.43,-0.17,0.03,0.14,0.09,-0.02
HD14412,5374,4.69,-0.46,-0.37,-0.40,-0.47,-0.51
HD15335,5891,4.07,-0.24,-0.14,-0.06,-0.13,-0.19
HD16141,5794,4.22,0.08,0.11,0.15,0.17,0.14
HD16160,4866,4.66,-0.01,-0.06,0.00,-0.12,-0.11
HD16287,5075,4.67,0.18,0.22,0.08,0.25,0.18
HD16417,5817,4.17,0.09,0.10,0.10,0.13,0.13
HD16275,5839,4.39,0.38,0.30,0.22,0.34,0.34
HD16397,5788,4.50,-0.40,-0.32,-0.28,-0.51,-0.49
HD16548,5750,4.12,0.11,0.13,0.29,0.25,0.22
HD16623,5819,4.49,-0.33,-0.25,-0.16,-0.45,-0.43
HD17051,6097,4.34,0.08,0.10,0.07,0.11,0.07
HD17037,6206,4.32,0.03,0.07,0.10,0.08,0.05
HD16895,6344,4.42,-0.04,0.04,0.04,0.06,-0.03
HD17190,5142,4.40,-0.10,-0.11,-0.12,-0.11,-0.15
HD17925,5236,4.59,0.11,0.06,0.11,0.18,0.10
HD18144,5511,4.48,0.06,0.05,0.04,0.07,0.05
HD18143,5148,4.55,0.34,0.24,0.18,0.28,0.26
HD18262,6458,4.16,0.16,0.25,0.27,0.31,0.22
HD18445,4894,4.57,-0.05,-0.01,-0.11,0.00,-0.15
HD18709,5874,4.37,-0.31,-0.19,-0.16,-0.26,-0.29
HD18632,5088,4.42,0.18,0.13,0.16,0.25,0.16
HD18907,5097,3.93,-0.54,-0.38,-0.27,-0.57,-0.52
HD18803,5638,4.45,0.17,0.11,0.05,0.11,0.11
HD19034,5470,4.63,-0.37,-0.21,-0.17,-0.49,-0.44
HD19467,5715,4.44,-0.12,-0.04,0.00,-0.15,-0.14
HD19308,5807,4.34,0.20,0.14,0.10,0.13,0.15
HD19632,5772,4.49,0.07,0.08,0.05,0.13,0.08
HD19373,6032,4.31,0.18,0.16,0.12,0.16,0.18
HD20029,6140,4.28,0.09,0.12,0.09,0.12,0.10
HD19994,6188,4.24,0.27,0.21,0.22,0.19,0.24
HD20201,5977,4.38,-0.05,0.08,0.08,0.08,0.05
HD20165,5110,4.49,0.01,-0.02,-0.07,-0.03,-0.05
HD20766,5699,4.58,-0.27,-0.18,-0.20,-0.24,-0.26
HD20807,5845,4.54,-0.28,-0.18,-0.20,-0.26,-0.28
HD20619,5703,4.54,-0.25,-0.19,-0.17,-0.21,-0.26
HD20630,5742,4.49,0.04,0.06,0.04,0.12,0.05
HD20794,5401,4.62,-0.29,-0.15,-0.14,-0.41,-0.35
HD20782,5758,4.35,-0.14,-0.04,-0.06,-0.05,-0.11
HD20675,6577,4.28,0.20,0.14,0.16,0.21,0.11
HD21019,5529,4.05,-0.40,-0.35,-0.22,-0.36,-0.40
BD+11468,5428,4.57,,-1.50,-1.33,-1.53,-1.73
HD21313,5989,4.30,0.28,0.20,0.16,0.19,0.22
HD22104,5848,4.35,0.52,0.38,0.29,0.34,0.43
HD21774,5764,4.39,0.24,0.23,0.19,0.26,0.27
HD21847,6341,4.33,0.14,0.17,0.13,0.20,0.13
HD22049,5146,4.57,-0.12,-0.12,-0.05,-0.03,-0.11
HD22072,5027,3.65,-0.22,-0.24,-0.08,-0.25,-0.25
HD22282,5475,4.50,0.14,0.14,0.12,0.16,0.13
HD22484,6038,4.21,-0.03,-0.01,0.04,-0.02,-0.02
HD22713,5065,3.79,0.05,-0.01,0.02,0.08,0.08
HD23127,5752,4.15,0.62,0.40,0.32,0.34,0.47
HD23079,5927,4.34,-0.21,-0.11,-0.06,-0.15,-0.19
HD22879,5688,4.41,-0.85,-0.59,-0.55,-0.91,-0.95
HD22918,4939,3.84,-0.04,-0.01,0.08,0.04,0.02
HD23249,5095,3.98,0.16,0.08,0.09,0.16,0.14
HD23356,4991,4.59,-0.05,-0.06,-0.07,-0.06,-0.13
HD23484,5155,4.46,0.05,0.05,0.03,0.12,0.06
HD23439,5070,4.71,-1.01,-0.55,-0.67,-1.03,-0.98
HD23596,5904,3.97,0.33,0.21,0.15,0.22,0.27
HD24112,6124,4.22,0.22,0.13,0.14,0.14,0.15
HD24040,5853,4.36,0.23,0.19,0.23,0.21,0.24
HD24213,6044,4.23,0.04,0.10,0.12,0.09,0.07
HD24365,5205,3.70,-0.25,-0.30,-0.17,-0.21,-0.26
HD24496,5572,4.56,-0.02,-0.01,0.00,0.01,-0.03
HD24341,5459,4.07,-0.58,-0.42,-0.30,-0.52,-0.54
HD24238,4973,4.59,-0.41,-0.26,-0.23,-0.51,-0.47
HD24727,6211,4.10,-0.21,-0.12,-0.06,-0.11,-0.20
HD24892,5363,4.12,-0.32,-0.21,-0.12,-0.28,-0.31
HD25069,4994,3.53,0.22,-0.01,0.16,0.22,0.19
HD25874,5699,4.41,0.04,0.03,-0.01,-0.01,-0.01
HD25587,6118,4.14,-0.09,-0.05,-0.02,-0.05,-0.11
HD25682,5477,4.53,0.02,0.08,0.07,0.09,0.04
HD25790,5630,3.94,0.10,0.08,0.16,0.15,0.15
HD25680,5874,4.52,0.02,0.06,0.02,0.10,0.00
HD25825,5941,4.38,-0.03,0.08,-0.01,0.07,0.05
HD26151,5348,4.47,0.34,0.25,0.19,0.26,0.26
HD26491,5816,4.37,-0.09,-0.05,-0.08,-0.07,-0.08
HD25918,5533,4.52,-0.18,-0.06,-0.05,-0.05,-0.12
HD25665,4936,4.51,0.04,-0.01,-0.06,-0.03,-0.06
HD26754,6025,4.33,-0.37,-0.28,-0.24,-0.36,-0.40
HD26794,4909,4.74,0.02,0.13,0.09,0.10,0.05
HD26965,5151,4.57,-0.17,-0.11,-0.03,-0.28,-0.24
HD26990,5748,4.39,-0.10,-0.12,0.01,-0.04,-0.16
HD27442,4846,3.78,0.43,0.28,0.17,0.42,0.50
GJ9155B,5658,4.49,0.02,0.06,0.03,0.09,0.06
HD28255,5897,4.45,0.00,0.05,0.02,0.05,0.03
HD28187,5781,4.56,-0.34,-0.21,-0.11,-0.42,-0.39
HD28005,5819,4.38,0.50,0.33,0.30,0.32,0.39
HD28344,6005,4.43,0.11,0.13,0.16,0.19,0.14
HD28447,5604,4.09,-0.11,-0.04,0.01,-0.03,-0.05
HD28676,5888,4.28,0.08,0.07,0.10,0.07,0.08
HD28946,5321,4.55,-0.19,-0.13,-0.14,-0.15,-0.20
HD29150,5675,4.41,0.00,-0.01,-0.01,-0.01,-0.02
HD29461,5913,4.52,0.19,0.20,0.20,0.25,0.21
HD29528,5524,4.50,0.11,0.14,0.17,0.17,0.11
HD30177,5607,4.31,0.52,0.38,0.30,0.39,0.46
HD30295,5417,4.50,0.32,0.31,0.23,0.28,0.29
HD29836,5761,4.25,0.19,0.22,0.26,0.26,0.27
HD29859,6155,3.89,0.03,0.08,0.19,0.11,0.03
HD29883,4952,4.61,-0.23,-0.11,-0.12,-0.18,-0.22
HD30495,5759,4.39,-0.14,-0.03,-0.04,0.01,-0.09
HD30508,5206,3.79,-0.20,-0.14,-0.16,-0.08,-0.12
HD30562,5937,4.23,0.23,0.22,0.28,0.26,0.27
HD30339,6074,4.37,0.35,0.25,0.24,0.26,0.30
HD30652,6424,4.29,0.01,0.01,0.02,0.03,-0.05
HD30876,5061,4.63,-0.16,-0.07,-0.11,-0.06,-0.14
HD30708,5766,4.36,0.20,0.17,0.19,0.19,0.20
HD30649,5778,4.44,-0.43,-0.30,-0.21,-0.49,-0.48
HD30825,5176,3.71,-0.22,-0.25,-0.10,-0.17,-0.20
HD30736,6160,3.92,0.47,0.33,0.25,0.36,0.27
HD31253,6065,4.10,0.12,0.13,0.19,0.16,0.15
HD31527,5879,4.39,-0.17,-0.13,-0.15,-0.19,-0.21
HD31560,4744,4.88,0.08,0.19,0.02,0.14,0.15
HD31412,6096,4.37,0.00,0.04,0.07,0.05,0.02
HD31827,5614,4.39,0.55,0.41,0.33,0.41,0.47
HD31966,5781,4.23,0.05,0.10,0.18,0.13,0.12
HD32147,4827,4.69,0.35,0.23,0.21,0.33,0.35
HD32778,5652,4.55,-0.55,-0.45,-0.44,-0.56,-0.57
HD34297,5507,4.56,-0.53,-0.36,-0.35,-0.65,-0.59
HD32923,5694,4.20,-0.20,-0.11,-0.04,-0.17,-0.19
HD33021,5804,4.31,-0.23,-0.06,0.08,-0.14,-0.15
HD32963,5763,4.43,0.12,0.09,0.08,0.08,0.09
HD33473,5726,3.93,-0.17,-0.10,-0.04,-0.10,-0.14
HD33811,5546,4.43,0.38,0.33,0.23,0.29,0.35
HD33555,4889,3.50,-0.03,-0.07,0.02,0.05,0.05
HD33608,6416,4.08,0.25,0.23,0.19,0.21,0.16
HD33636,5904,4.43,-0.22,-0.09,-0.08,-0.13,-0.19
HD33632,6141,4.43,-0.28,-0.16,-0.13,-0.18,-0.26
HD34445,5837,4.21,0.18,0.12,0.12,0.14,0.14
HD34721,5999,4.25,-0.10,-0.06,-0.02,-0.07,-0.09
HD34411,5911,4.37,0.10,0.11,0.10,0.12,0.11
HD34745,6070,4.29,-0.19,-0.07,-0.05,-0.10,-0.16
HD34575,5651,4.45,0.34,0.29,0.28,0.32,0.31
HD35627,6069,4.24,-0.07,0.02,0.09,0.03,-0.01
HD35854,4948,4.61,-0.05,-0.05,-0.06,-0.04,-0.08
HD35850,6496,5.02,-0.24,0.07,0.61,0.29,0.12
HD35974,5888,3.99,-0.18,-0.15,-0.06,-0.16,-0.20
HD35681,6262,4.20,-0.07,0.06,0.07,0.09,0.00
HD36108,5892,4.25,-0.30,-0.18,-0.16,-0.21,-0.26
HD35956,5843,4.22,-0.16,-0.13,-0.11,-0.22,-0.18
HD36308,5612,4.82,0.04,0.02,0.15,0.15,0.04
HD36889,5846,4.09,0.23,0.14,0.15,0.16,0.18
HD37213,5453,4.04,-0.50,-0.40,-0.29,-0.44,-0.49
HD38283,5998,4.23,-0.15,-0.11,-0.07,-0.15,-0.18
HD37124,5500,4.60,-0.33,-0.21,-0.18,-0.44,-0.40
HD39091,5950,4.36,0.05,0.07,0.02,0.05,0.05
HD37008,4975,4.55,-0.39,-0.25,-0.23,-0.49,-0.44
HD37216,5364,4.44,-0.17,-0.08,-0.10,-0.05,-0.15
HD37588,6144,4.07,-0.22,-0.14,-0.12,-0.17,-0.24
HD37962,5651,4.41,-0.27,-0.20,-0.22,-0.23,-0.29
HD37394,5351,4.60,0.15,0.07,0.08,0.19,0.14
HD38110,5805,4.24,0.22,0.18,0.15,0.17,0.20
HD38382,6030,4.32,-0.04,0.01,-0.05,0.00,-0.02
HD38230,5174,4.53,0.00,0.01,0.01,-0.08,-0.08
HD37006,5549,4.58,-0.15,-0.04,-0.03,0.02,-0.09
HD38973,5995,4.40,0.02,0.05,0.01,0.03,0.01
HD38529,5697,4.05,0.51,0.36,0.36,0.45,0.45
HD38949,6051,4.55,-0.23,-0.08,-0.09,-0.05,-0.15
HD38858,5726,4.51,-0.27,-0.18,-0.22,-0.23,-0.27
HD39213,5457,4.36,0.41,0.36,0.26,0.36,0.41
HD39156,5279,3.86,-0.09,-0.10,-0.01,-0.02,-0.06
HD40307,4827,4.63,-0.35,-0.19,-0.22,-0.28,-0.30
HD39587,5882,4.34,-0.07,0.03,-0.05,-0.01,-0.10
HD39715,4798,4.75,-0.08,0.03,-0.09,-0.04,-0.09
HD39881,5718,4.42,-0.09,-0.02,0.03,-0.13,-0.12
HD40397,5542,4.59,-0.09,-0.02,0.03,-0.10,-0.10
HD40650,5948,4.27,-0.13,-0.09,-0.09,-0.10,-0.13
HD40979,6089,4.30,0.15,0.16,0.12,0.17,0.14
HD42024,6218,4.21,0.23,0.18,0.17,0.18,0.20
HD43834,5587,4.50,0.13,0.10,0.05,0.09,0.10
HD42902,5908,4.23,0.38,0.27,0.23,0.27,0.33
HD42618,5747,4.43,-0.13,-0.09,-0.11,-0.11,-0.13
HD43042,6418,4.15,0.02,0.03,0.00,0.05,-0.04
HD44447,6022,4.32,-0.24,-0.17,-0.13,-0.21,-0.24
HD42250,5396,4.60,0.00,0.08,0.08,0.01,-0.01
HD44120,6003,4.19,0.10,0.10,0.09,0.10,0.10
HD43745,6095,4.02,0.13,0.09,0.16,0.13,0.11
HD43587,5892,4.33,-0.06,-0.05,-0.04,-0.04,-0.04
HD43523,6118,4.41,-0.06,0.02,0.03,0.05,-0.02
HD43947,5933,4.37,-0.31,-0.23,-0.20,-0.29,-0.34
HD44594,5844,4.41,0.14,0.16,0.12,0.15,0.16
HD44420,5796,4.35,0.47,0.30,0.23,0.29,0.36
HD44821,5783,4.53,0.03,0.05,0.06,0.11,0.04
HD45289,5737,4.39,-0.03,0.04,0.07,-0.02,-0.01
HD45701,5886,4.28,0.29,0.18,0.13,0.20,0.21
HD45184,5810,4.37,-0.02,0.04,0.01,0.04,-0.01
HD45067,6044,4.08,-0.11,-0.05,0.05,-0.03,-0.09
HD44985,5929,4.29,-0.18,-0.08,-0.07,-0.09,-0.14
HD45588,6168,4.29,-0.07,0.01,0.09,0.04,-0.01
HD45350,5616,4.32,0.27,0.27,0.24,0.29,0.26
HD45391,5624,4.49,-0.41,-0.40,-0.41,-0.50,-0.51
HD46375,5285,4.53,0.36,0.25,0.22,0.24,0.28
HD47157,5733,4.43,0.50,0.35,0.31,0.34,0.41
HD47127,5605,4.38,0.03,0.11,0.10,0.10,0.08
HD47752,4707,4.72,-0.22,-0.01,-0.13,-0.10,-0.15
HD48938,5937,4.31,-0.49,-0.36,-0.29,-0.43,-0.48
HD48682,6064,4.33,0.00,0.06,0.07,0.12,0.08
HD49736,5961,4.34,-0.08,-0.05,-0.01,-0.07,-0.08
HD49674,5662,4.56,0.29,0.27,0.25,0.31,0.30
HD50499,6070,4.37,0.42,0.32,0.30,0.34,0.37
HD50281,4758,4.92,-0.06,0.11,0.02,0.14,0.08
HD50806,5683,4.35,0.07,0.12,0.17,0.07,0.09
HD50639,6098,4.29,-0.06,-0.02,-0.02,-0.02,-0.05
HD50554,5929,4.29,-0.12,-0.05,-0.05,-0.07,-0.12
HD50692,5891,4.36,-0.20,-0.14,-0.14,-0.18,-0.19
HD51929,5805,4.43,-0.58,-0.40,-0.35,-0.64,-0.63
HD51219,5642,4.46,-0.03,0.00,0.02,0.01,-0.02
HD52447,6051,4.23,0.32,0.28,0.19,0.24,0.30
HD51419,5637,4.46,-0.44,-0.29,-0.26,-0.40,-0.43
HD52265,6076,4.26,0.19,0.18,0.20,0.19,0.19
HD52456,5109,4.37,0.03,-0.06,-0.09,0.01,0.02
HD52711,5889,4.41,-0.13,-0.10,-0.12,-0.10,-0.15
HD53705,5827,4.44,-0.19,-0.12,-0.07,-0.21,-0.21
HD53706,5245,4.57,-0.23,-0.16,-0.18,-0.28,-0.27
HD53665,6225,4.05,0.11,0.13,0.17,0.17,0.13
HD55720,5486,4.58,-0.26,-0.16,-0.13,-0.30,-0.29
HD56560,5544,4.24,0.07,0.09,0.13,0.05,0.05
HD55693,5869,4.35,0.34,0.25,0.17,0.25,0.29
HD56274,5681,4.47,-0.55,-0.46,-0.46,-0.55,-0.59
HD56303,5895,4.24,0.09,0.12,0.12,0.13,0.13
HD56124,5848,4.46,-0.04,0.00,-0.01,0.01,-0.02
BD+091617,5163,4.63,0.12,0.19,0.14,0.15,0.14
HD59468,5585,4.44,0.02,0.05,-0.01,0.02,0.02
HD58781,5604,4.45,0.14,0.11,0.08,0.10,0.10
HD59747,5177,4.62,-0.02,0.02,0.03,0.06,-0.03
HD60491,5091,4.63,-0.26,-0.13,-0.18,-0.17,-0.28
HD61421,6543,3.99,0.13,0.01,0.08,0.00,-0.05
HD61686,5871,4.44,0.42,0.31,0.30,0.30,0.36
HD61606,4964,4.71,-0.02,0.12,-0.04,0.07,-0.01
HD64184,5635,4.55,-0.13,-0.06,-0.02,-0.21,-0.18
HD63754,6096,4.07,0.21,0.18,0.22,0.22,0.22
HD63433,5742,4.56,-0.09,-0.01,0.07,0.07,-0.05
HD64468,4936,4.47,0.19,0.10,0.10,0.07,0.07
HD65907,5949,4.63,-0.23,-0.12,-0.07,-0.34,-0.29
