Name,Teff,log(g),[Na/H],[Si/H],[Ti/H],[Fe/H],[Ni/H]
HD136580,6227,4.22,-0.13,-0.09,-0.11,-0.11,-0.15
HD136442,4889,3.91,0.48,0.31,0.27,0.43,0.42
HD136654,6235,4.12,0.01,0.09,0.03,0.09,0.02
HD136544,6351,4.19,0.19,0.16,0.13,0.17,0.14
HD136352,5672,4.58,-0.27,-0.16,-0.14,-0.34,-0.32
HD136713,4981,4.62,0.40,0.24,0.15,0.22,0.24
HD136834,4994,4.58,0.45,0.27,0.14,0.28,0.26
HD136923,5379,4.58,-0.08,-0.07,-0.07,-0.07,-0.12
HD136925,5717,4.51,-0.22,-0.10,-0.02,-0.29,-0.26
HD137510,5966,3.99,0.50,0.35,0.30,0.37,0.41
HD138004,5742,4.49,-0.12,-0.07,-0.06,-0.09,-0.14
HD137778,5185,4.60,0.36,0.21,0.16,0.28,0.24
HD137812,5303,4.14,-0.08,-0.05,0.08,0.04,-0.01
HD139813,5491,4.71,-0.02,0.03,0.11,0.14,0.03
HD138573,5722,4.45,-0.02,-0.01,-0.05,-0.03,-0.04
HD138549,5534,4.43,0.04,0.01,-0.03,0.00,0.00
HD138776,5681,4.31,0.50,0.35,0.30,0.38,0.43
HD139477,4714,4.88,-0.12,0.17,-0.05,0.11,0.05
HD139323,5099,4.65,0.45,0.35,0.24,0.37,0.37
HD139324,5935,4.26,0.19,0.13,0.12,0.15,0.17
HD139457,5957,3.99,-0.50,-0.40,-0.32,-0.48,-0.55
HD140538,5653,4.44,-0.04,0.06,0.08,0.08,0.03
HD140913,6048,4.57,-0.02,0.06,0.06,0.13,0.05
HD141004,5936,4.30,0.08,0.08,0.02,0.05,0.02
HD140785,5771,4.13,-0.09,-0.04,-0.01,-0.01,-0.05
HD141103,6087,4.01,-0.32,-0.26,-0.25,-0.31,-0.38
HD140901,5627,4.53,0.11,0.09,0.07,0.10,0.10
HD141937,5847,4.42,0.04,0.10,0.09,0.13,0.10
HD142373,5861,4.14,-0.53,-0.33,-0.26,-0.44,-0.51
HD142267,5756,4.48,-0.48,-0.35,-0.35,-0.43,-0.48
HD142229,5930,4.50,-0.09,-0.02,0.05,0.05,-0.05
HD142860,6262,4.18,-0.09,-0.11,-0.14,-0.18,-0.21
HD142415,5902,4.38,0.01,0.08,0.04,0.09,0.04
HD143291,5221,4.55,-0.45,-0.32,-0.32,-0.44,-0.47
HD143006,5875,4.23,0.06,0.07,0.30,0.22,0.11
HD143114,5869,4.57,-0.32,-0.20,-0.12,-0.38,-0.36
HD143761,5823,4.36,-0.23,-0.09,-0.06,-0.20,-0.21
HD144579,5214,4.71,-0.57,-0.36,-0.39,-0.69,-0.62
HD144585,5854,4.33,0.36,0.30,0.32,0.31,0.35
HD144009,5595,4.48,0.05,0.07,0.02,0.06,0.06
HD145435,6110,4.15,-0.01,0.04,0.01,0.03,-0.01
HD145229,5885,4.37,-0.25,-0.19,-0.21,-0.16,-0.28
HD144628,5021,4.54,-0.41,-0.32,-0.28,-0.41,-0.42
HD144988,5862,3.86,-0.22,-0.19,-0.06,-0.18,-0.22
HD145675,5388,4.52,0.62,0.42,0.40,0.46,0.49
HD145934,4899,3.19,0.15,-0.09,0.06,0.15,0.10
GJ615.1B,5388,4.57,-0.07,-0.01,-0.04,-0.02,-0.06
HD145958,5436,4.55,-0.07,-0.02,-0.05,-0.03,-0.06
HD145809,5780,4.16,-0.29,-0.22,-0.09,-0.24,-0.29
HD145825,5803,4.49,-0.01,0.04,0.01,0.03,0.02
HD146362,5821,4.39,-0.12,-0.07,-0.12,-0.06,-0.12
HD147231,5636,4.51,0.01,0.05,0.07,0.00,-0.01
HD146233,5791,4.41,0.01,0.03,0.03,0.03,0.01
HD147044,5884,4.40,-0.05,-0.02,-0.03,-0.01,-0.05
HD146775,5806,4.33,-0.08,-0.09,-0.12,-0.10,-0.11
HD146481,5675,4.24,-0.39,-0.26,-0.11,-0.44,-0.40
HD147512,5519,4.48,-0.01,-0.03,-0.05,-0.06,-0.07
BD-114126,4880,4.71,0.08,0.12,-0.03,0.08,0.01
HD147513,5930,4.61,-0.12,0.01,0.15,0.09,0.01
HD147776,4880,4.72,-0.32,-0.17,-0.21,-0.29,-0.36
HD147723,6006,4.10,0.11,0.13,0.18,0.16,0.14
HD147722,5971,4.28,0.09,0.11,0.09,0.11,0.11
HD148427,5035,3.61,0.08,-0.03,0.07,0.17,0.15
HD149200,6203,4.16,-0.05,0.09,0.15,0.11,0.07
HD149652,6321,4.23,-0.06,-0.05,-0.03,-0.06,-0.11
HD149661,5277,4.57,0.07,0.04,0.03,0.07,0.02
HD149724,5738,4.29,0.53,0.38,0.38,0.41,0.45
HD149806,5359,4.54,0.29,0.19,0.15,0.21,0.22
HD149612,5726,4.62,-0.45,-0.37,-0.36,-0.45,-0.47
HD150554,6010,4.29,-0.14,0.00,-0.05,0.00,-0.06
