HIP,Star,Teff,logg,FeH,NaH,MgH,AlH,SiH,CaH,ScIH,ScIIH,TiIH,TiIIH,VH,CrIH,CrIIH,MnH,CoH,NiH
108950,HD209449,5854,4.16,0.410,0.635,0.443,0.480,0.475,0.359,0.523,0.527,0.443,0.447,0.520,0.421,0.363,0.548,0.591,0.509
108859,HD209458,6118,4.5,0.030,0.010,0.180,0.040,0.138,0.185,0.710,0.107,0.220,0.240,0.472,0.117,0.017,-0.068,0.099,0.247
109012,HD209566,5500,4.38,0.120,0.235,0.157,0.195,0.142,0.096,0.167,0.178,0.175,0.138,0.269,0.136,0.117,0.205,0.236,0.162
109166,HD209742,5137,4.49,-0.160,-0.115,-0.143,-0.085,-0.139,-0.112,-0.047,-0.212,-0.050,-0.152,0.140,-0.142,-0.187,-0.170,-0.085,-0.166
15776,HD21019,5468,3.93,-0.450,-0.390,-0.290,-0.330,-0.353,-0.356,-0.373,-0.328,-0.310,-0.308,-0.396,-0.441,-0.403,-0.563,-0.391,-0.450
109488,HD210272,5713,4.13,-0.220,-0.250,-0.123,-0.145,-0.177,-0.187,-0.200,-0.153,-0.137,-0.128,-0.180,-0.227,-0.187,-0.330,-0.200,-0.231
109378,HD210277,5505,4.3,0.180,0.265,0.267,0.290,0.228,0.166,0.280,0.258,0.291,0.256,0.349,0.201,0.167,0.263,0.353,0.211
109423,HD210320,5597,4.31,0.110,0.210,0.233,0.160,0.171,0.128,0.247,0.248,0.197,0.193,0.214,0.116,0.133,0.148,0.280,0.137
109468,HD210329,4965,4.4,-0.180,-0.120,-0.190,-0.095,-0.187,-0.141,0.017,-0.170,0.019,-0.128,0.301,-0.153,-0.193,-0.160,-0.070,-0.173
109612,HD210507,4998,4.42,0.070,0.070,0.007,0.100,0.063,0.047,0.237,0.020,0.180,0.068,0.480,0.095,0.103,0.123,0.186,0.087
109655,HD210573,4918,4.48,-0.070,0.070,-0.053,0.135,-0.049,-0.078,0.377,-0.060,0.191,-0.068,0.480,-0.017,-0.067,-0.105,0.089,-0.055
109646,HD210752,5951,4.53,-0.580,-0.580,-0.480,-0.615,-0.504,-0.479,-0.455,-0.512,-0.493,-0.473,-0.587,-0.603,-0.533,-0.735,-0.587,-0.611
109821,HD210918,5755,4.35,-0.090,-0.105,-0.007,0.020,-0.059,-0.023,0.000,-0.023,0.003,-0.002,-0.059,-0.084,-0.093,-0.235,-0.066,-0.107
109816,HD210975,4749,4.37,-0.430,-0.210,-0.260,-0.110,-0.392,-0.280,0.287,-0.250,0.057,-0.265,0.336,-0.284,-0.553,-0.448,-0.263,-0.415
109822,HD211038,4989,3.68,-0.250,-0.105,0.010,0.075,-0.088,-0.101,-0.017,-0.048,0.068,0.052,0.221,-0.217,-0.217,-0.240,0.049,-0.203
109918,HD211188,5053,4.41,-0.120,-0.015,-0.127,-0.045,-0.127,-0.068,0.010,-0.120,0.021,-0.185,0.283,-0.099,-0.100,-0.087,-0.040,-0.129
110161,HD211317,5965,4.3,0.270,0.420,0.270,0.580,0.311,0.262,0.353,0.353,0.296,0.288,0.344,0.269,0.277,0.468,0.374,0.328
15644,HD21132,6243,4.6,-0.370,-0.345,-0.333,-0.535,-0.306,-0.289,99.990,-0.327,-0.283,-0.275,-0.276,-0.374,-0.373,-0.475,-0.353,-0.393
110066,HD211369,4984,4.44,0.040,0.145,0.013,0.060,0.013,0.078,0.247,-0.037,0.200,0.012,0.514,0.068,-0.010,0.073,0.130,0.054
