HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
114450,5935,4.40,-0.05,-0.04,0.00,0.05,0.01,0.02,0.01,-0.02,-0.02,-0.04,-0.07,-0.08,0.02
114460,5386,4.44,-0.03,0.18,-0.03,0.09,0.01,0.08,-0.02,0.05,0.02,0.01,0.09,-0.01,-0.07
114576,5876,4.33,0.06,-0.03,0.04,0.09,0.08,0.03,0.00,0.05,-0.01,0.01,0.00,-0.05,-0.11
114584,5733,4.40,-0.14,0.08,-0.05,0.01,0.03,0.01,0.06,0.05,0.01,-0.04,-0.09,0.05,0.14
114590,5796,4.09,0.20,-0.11,0.07,0.05,0.07,0.05,-0.01,-0.02,-0.02,0.03,0.14,-0.08,-0.10
114615,5799,4.44,-0.05,-0.01,-0.05,-0.02,-0.06,-0.03,0.00,0.00,0.00,-0.06,-0.09,0.04,0.08
114702,6028,4.33,-0.34,0.07,0.02,0.10,0.02,0.02,0.05,0.01,-0.02,-0.04,-0.40,-0.11,-0.01
114709,5977,4.34,-0.29,0.05,0.00,0.12,0.04,0.03,0.05,0.01,-0.03,-0.06,-0.05,-0.09,0.07
114743,5343,3.77,-0.14,0.25,0.05,0.18,0.21,0.11,0.07,0.10,-0.01,0.01,0.09,-0.08,-0.07
114761,6712,4.07,-0.65,0.18,0.15,0.17,0.00,0.05,0.05,0.08,-0.05,-0.08,0.12,0.00,-0.06
114962,5935,4.32,-1.50,0.67,-0.18,0.36,99.99,0.18,0.25,0.24,-0.07,-0.18,0.12,99.99,-0.35
115286,5745,3.82,-0.08,0.05,0.02,0.18,0.11,0.05,0.05,0.01,-0.03,-0.03,0.00,-0.18,-0.11
115411,5430,4.51,-0.45,0.31,-0.02,0.15,0.13,0.09,0.05,0.09,0.00,-0.01,0.17,-0.01,0.03
115577,5648,4.30,0.00,0.20,0.01,0.11,0.16,0.09,0.03,0.11,0.01,0.02,0.20,-0.04,-0.01
115662,5937,4.32,-0.03,-0.02,0.02,0.06,0.01,0.02,0.01,-0.02,-0.03,-0.01,-0.01,-0.10,-0.02
115792,6480,4.12,-0.11,-0.01,-0.03,0.08,0.02,0.01,0.08,0.04,-0.04,-0.06,-0.08,0.07,0.27
115803,6275,4.30,0.01,-0.08,-0.02,0.03,-0.07,0.02,0.06,-0.04,-0.05,-0.07,-0.03,-0.01,0.11
115861,5618,4.26,0.25,-0.05,0.01,0.04,0.02,0.05,0.00,0.08,0.01,0.03,0.39,-0.01,-0.09
115917,6189,4.34,-0.52,0.13,0.06,0.14,0.01,0.05,0.07,0.10,-0.02,-0.05,0.09,-0.15,-0.09
116033,5856,4.31,-0.08,0.03,-0.03,0.00,0.02,0.01,0.03,0.05,-0.03,-0.03,-0.05,-0.10,-0.06
116410,5347,4.44,-0.37,0.32,-0.04,0.19,0.13,0.11,0.05,0.11,0.04,-0.02,0.06,0.00,-0.12
116421,5769,4.32,-0.43,99.99,0.05,0.29,0.34,0.21,0.21,0.34,0.01,0.05,0.05,0.02,-0.01
116478,5567,4.38,-0.07,0.08,0.02,0.08,0.07,0.08,0.01,0.01,0.01,0.00,0.04,-0.03,-0.08
116740,5765,3.86,0.07,99.99,0.07,0.28,0.07,0.02,0.18,-0.08,-0.03,-0.05,0.12,-0.15,0.15
116906,5792,4.36,0.02,-0.03,0.01,0.03,0.04,0.01,0.01,0.03,-0.03,0.00,0.01,-0.09,0.01
117320,5853,4.07,0.16,-0.13,0.01,-0.01,-0.04,0.01,0.00,0.02,-0.02,0.00,-0.09,-0.09,-0.13
117364,5819,4.31,-0.05,-0.03,-0.06,0.10,0.08,0.02,0.05,0.03,-0.04,-0.03,-0.06,-0.09,0.00
117526,5540,4.35,0.20,-0.11,-0.03,-0.03,-0.02,0.03,-0.04,0.06,0.02,0.02,-0.10,0.09,-0.04
117627,5338,3.70,-0.36,0.17,-0.03,0.20,0.22,0.09,0.11,0.09,0.00,-0.04,0.03,-0.10,-0.04
117880,6236,4.46,0.21,-0.20,0.02,-0.03,0.04,-0.04,0.01,0.05,-0.02,0.01,-0.03,-0.05,-0.06
117902,5588,4.39,0.16,0.05,-0.01,0.11,0.12,0.07,-0.02,0.07,0.03,0.04,0.34,-0.02,-0.01
117961,5620,3.91,0.04,-0.03,-0.04,0.08,0.09,0.01,0.04,-0.01,-0.02,-0.05,0.29,-0.15,-0.02
118010,5822,4.28,-0.07,99.99,-0.07,0.04,0.11,0.02,0.04,0.09,-0.02,-0.03,0.00,-0.09,0.07
118115,5833,4.39,0.02,-0.08,-0.07,0.01,0.05,-0.04,0.00,0.06,-0.02,-0.04,-0.06,-0.14,-0.05
118141,6157,3.77,-0.38,0.17,0.06,0.19,0.05,0.09,0.08,0.03,-0.03,-0.07,-0.06,-0.09,0.11
118143,5476,4.47,0.05,0.03,0.03,0.03,0.01,0.05,-0.03,-0.01,0.02,0.03,0.02,0.05,0.00
