HIP,Teff,logg,FeH,OH,NaH,MgH,AlH,SiH,CaH,TiH,CrH,NiH,ZnH,YH,BaH
53719,5068,4.41,0.09,0.13,-0.09,-0.05,0.03,0.06,-0.10,0.05,0.04,0.05,0.07,0.01,-0.08
53765,6116,4.33,-0.28,0.12,-0.02,0.13,-0.02,0.02,0.05,0.00,-0.08,-0.07,-0.12,-0.10,0.06
53982,5951,3.91,0.12,-0.11,0.04,0.12,0.12,0.05,0.06,0.02,-0.02,-0.02,0.00,-0.02,0.08
54043,5543,3.93,-0.55,0.58,0.11,0.44,0.36,0.25,0.22,0.25,0.01,0.02,0.19,-0.09,-0.15
54469,6098,4.34,-0.43,0.37,0.13,0.26,0.15,0.16,0.15,0.20,-0.03,-0.01,0.16,0.28,0.02
54641,6168,4.29,-1.14,0.46,0.01,0.35,99.99,0.19,0.18,0.20,-0.04,0.00,0.09,-0.09,-0.20
54779,5701,4.29,-0.39,0.45,0.05,0.27,0.22,0.17,0.13,0.21,0.01,0.00,0.23,-0.04,-0.09
54924,5682,4.34,-0.80,0.61,0.10,0.38,0.32,0.23,0.26,0.28,-0.01,-0.01,0.29,-0.02,-0.11
55210,5374,4.50,-0.25,99.99,-0.03,-0.10,0.15,0.07,0.01,0.11,0.01,0.00,0.05,-0.01,-0.10
55278,6004,4.21,0.21,-0.16,0.09,-0.01,0.01,-0.01,-0.03,-0.01,-0.02,0.03,0.13,-0.06,-0.04
55592,5995,4.14,-1.02,0.55,-0.05,0.30,0.00,0.15,0.24,0.15,0.02,-0.10,0.10,-0.03,-0.09
55805,5627,4.36,-1.06,0.64,0.08,0.43,0.16,0.27,0.26,0.25,0.03,-0.02,0.08,-0.06,-0.01
56004,6091,4.36,0.13,-0.10,0.06,0.13,0.08,0.02,0.06,0.01,0.02,-0.04,0.21,-0.07,0.01
56336,5878,4.50,-0.42,0.14,0.03,0.17,0.04,0.06,0.05,0.05,-0.02,-0.03,0.00,-0.17,-0.09
56389,5833,4.28,-0.12,0.11,-0.02,0.05,-0.01,0.01,0.01,-0.01,-0.01,-0.04,0.02,-0.14,-0.05
56452,5131,4.50,-0.40,0.33,-0.04,0.15,0.15,0.10,0.02,0.15,0.08,0.01,0.17,0.36,0.31
56557,5518,4.43,-0.10,0.04,0.00,0.02,0.04,0.05,0.03,0.02,0.00,0.00,0.04,-0.06,-0.01
56664,6364,4.07,-0.68,0.35,0.15,0.22,-0.09,0.06,0.13,0.12,-0.02,-0.06,-0.11,-0.11,-0.08
56830,5000,2.99,-0.82,0.47,0.12,0.45,0.35,0.27,0.31,0.30,-0.01,0.00,0.33,0.00,-0.13
56845,5100,3.55,-0.35,0.21,0.02,0.24,0.20,0.11,0.13,0.17,0.00,-0.01,0.12,0.01,-0.08
56868,5753,4.27,-0.41,0.41,0.04,0.23,0.18,0.15,0.15,0.21,0.01,-0.01,0.17,-0.03,-0.09
57017,6380,4.35,-0.43,99.99,0.02,0.11,0.01,0.03,0.07,0.04,0.00,-0.06,-0.13,-0.05,-0.02
57216,5681,3.87,-0.35,0.15,-0.02,0.20,0.05,0.06,0.08,0.09,-0.04,-0.05,-0.02,-0.14,-0.04
57360,6102,4.20,-1.27,0.51,-0.10,0.29,99.99,0.18,0.23,0.22,0.00,-0.11,-0.26,-0.12,-0.26
58145,5977,4.39,-1.14,0.63,-0.01,0.40,0.22,0.28,0.26,0.28,0.03,-0.03,0.30,0.15,-0.03
58153,5273,3.77,-0.68,0.51,0.07,0.36,0.31,0.21,0.26,0.29,0.01,0.02,0.12,-0.01,-0.10
58401,5067,4.70,-0.77,0.57,0.03,0.33,0.28,0.22,0.21,0.43,0.12,0.04,0.29,0.14,-0.10
58517,5900,4.29,0.14,-0.05,0.05,-0.02,0.05,0.01,-0.01,0.01,-0.01,0.02,-0.02,-0.03,0.00
58576,5491,4.42,0.25,99.99,0.14,-0.05,0.03,0.07,-0.08,0.03,0.03,0.09,0.05,0.00,-0.06
58843,5726,4.41,-0.84,0.62,0.06,0.37,0.22,0.24,0.26,0.28,0.01,-0.01,-0.03,0.05,-0.03
58950,5686,4.45,-0.19,99.99,-0.02,-0.05,0.08,0.01,-0.01,0.07,0.03,-0.02,0.00,-0.05,-0.07
58962,5894,4.39,-0.86,0.39,-0.09,0.22,-0.05,0.09,0.14,0.12,0.02,-0.08,-0.03,-0.13,-0.09
59021,5909,3.83,-0.10,0.03,0.04,0.07,0.11,0.02,0.05,0.00,-0.02,-0.04,-0.02,-0.09,0.07
59380,5901,4.38,-0.58,99.99,0.07,0.17,0.07,0.07,0.08,0.08,0.01,-0.02,0.05,-0.13,-0.07
59490,6051,4.20,-1.43,0.67,0.02,0.56,0.57,0.68,0.24,0.27,0.03,0.18,0.18,0.41,0.21
59532,5595,4.37,0.07,0.07,0.04,0.02,0.06,0.07,-0.02,0.01,0.01,0.03,-0.45,-0.06,-0.09
59639,5030,4.52,-0.07,0.18,-0.07,0.05,0.04,0.04,0.02,0.12,0.04,0.04,0.05,0.12,-0.08
59696,5055,3.41,-0.74,0.57,0.11,0.39,0.38,0.29,0.29,0.28,0.03,0.05,0.22,0.43,0.51
59699,5901,4.07,-0.73,0.61,0.10,0.38,0.28,0.20,0.26,0.25,-0.04,0.00,0.14,-0.20,-0.09
60019,5984,3.90,-0.34,99.99,0.01,0.06,-0.03,0.02,0.07,0.07,-0.02,-0.03,-0.04,-0.11,0.16
60288,6154,4.21,0.11,-0.08,0.06,0.05,-0.08,0.02,0.01,0.00,-0.03,0.01,0.18,-0.08,-0.04
60462,5048,4.63,-0.50,0.26,-0.04,0.22,0.20,0.14,0.08,0.21,0.02,-0.01,0.17,0.20,-0.16
60574,5629,4.35,-0.44,0.42,0.03,0.31,0.17,0.15,0.16,0.29,0.04,0.02,0.34,0.01,-0.11
60632,6140,4.07,-1.75,0.63,-0.09,0.43,99.99,0.21,0.29,0.21,0.03,-0.03,99.99,-0.17,-0.33
60729,5779,4.12,0.10,-0.38,0.06,0.07,0.09,0.01,-0.01,-0.02,0.00,0.00,-0.07,-0.16,-0.09
60825,6456,4.30,-0.61,0.20,0.12,0.20,-0.18,0.05,0.08,0.05,-0.03,-0.06,99.99,-0.15,-0.02
60956,5295,4.46,-0.70,99.99,0.11,0.38,0.27,0.27,0.21,0.30,0.11,0.05,0.21,-0.03,-0.09
61619,6429,4.26,0.04,99.99,0.04,-0.08,99.99,0.02,0.02,-0.05,-0.03,-0.06,-0.14,0.02,0.12
61802,5379,3.47,-1.25,0.49,-0.16,0.38,0.00,0.17,0.29,0.21,-0.03,-0.10,0.03,-0.17,-0.11
61971,5322,3.57,-0.58,0.22,0.08,0.23,0.18,0.12,0.09,0.05,-0.04,-0.03,0.05,-0.17,-0.01
62108,6293,4.37,-1.53,99.99,-0.12,0.25,99.99,0.24,0.33,0.46,0.06,-0.03,0.09,0.20,-0.10
62534,5427,4.45,-0.45,0.50,0.06,0.23,0.29,0.20,0.13,0.29,0.03,0.04,0.20,0.06,-0.14
62607,5364,4.46,-0.62,0.51,0.00,0.26,0.22,0.19,0.13,0.23,0.04,0.00,0.26,0.06,-0.08
62809,5658,4.38,-0.77,99.99,0.12,0.34,0.14,0.21,0.22,0.28,0.06,0.02,0.17,-0.05,-0.11
62857,5968,4.26,0.15,99.99,0.05,0.01,0.04,0.00,-0.03,0.01,-0.01,0.00,0.02,-0.05,-0.03
63405,6543,3.87,-0.29,99.99,0.01,-0.05,99.99,0.00,0.07,0.03,-0.05,-0.10,-0.16,0.04,0.39
63548,5410,4.49,-0.13,99.99,-0.01,0.06,0.18,0.14,0.01,0.12,0.09,0.04,0.16,0.10,-0.08
63918,5786,4.08,-0.63,0.43,0.09,0.33,0.25,0.20,0.25,0.29,-0.01,-0.01,0.24,-0.01,-0.06
64345,5598,4.37,-0.60,99.99,0.11,0.31,0.28,0.23,0.22,0.31,0.08,0.04,0.19,-0.02,-0.13
64408,5667,3.87,0.13,99.99,0.12,-0.01,0.08,0.03,0.01,-0.02,0.00,0.05,0.02,-0.07,-0.08
64426,5996,4.28,-0.70,0.36,0.10,0.27,0.21,0.15,0.18,0.20,-0.04,-0.03,0.08,-0.17,-0.16
64444,6076,4.04,-0.42,0.54,0.15,0.37,0.16,0.21,0.19,0.23,-0.05,-0.01,0.15,-0.18,-0.07
64459,5839,4.06,-0.31,99.99,-0.04,0.15,0.14,0.05,0.10,0.12,-0.01,-0.05,-0.02,-0.15,-0.05
64673,5875,4.14,0.00,0.02,0.05,0.09,0.02,0.03,0.02,-0.01,-0.03,-0.01,-0.01,-0.10,-0.02
64698,5624,4.35,-0.13,0.14,-0.03,0.10,0.13,0.06,0.06,0.10,0.00,-0.03,0.04,-0.02,0.07
64706,5006,4.53,-0.13,0.18,-0.12,0.02,0.04,0.03,-0.02,0.17,0.04,-0.02,-0.01,0.16,-0.11
64747,5718,4.47,-0.21,99.99,-0.03,-0.02,0.08,0.03,0.03,0.07,0.03,-0.02,0.01,-0.07,-0.06
64792,6185,4.28,0.25,-0.14,0.07,0.01,0.05,0.00,0.06,0.04,0.00,-0.01,-0.06,-0.02,0.09
64920,4818,2.77,-0.45,99.99,0.18,0.28,0.38,0.27,0.20,0.36,0.06,0.05,0.19,0.10,-0.11
64924,5469,4.36,-0.03,0.10,-0.05,0.06,0.08,0.07,-0.01,0.04,0.02,0.00,0.00,0.03,-0.05
66238,5660,4.42,-0.22,0.14,-0.06,0.17,0.12,0.05,0.05,0.07,-0.01,-0.04,-0.01,-0.10,-0.01
66814,5169,4.62,-0.66,0.62,0.03,0.33,0.29,0.22,0.14,0.31,0.04,0.02,0.21,0.27,-0.20
67371,5803,3.97,0.31,-0.17,0.12,0.08,0.05,0.05,0.01,0.03,0.02,0.07,0.10,-0.01,-0.07
67534,5683,4.14,0.35,99.99,0.05,-0.08,0.06,0.01,-0.04,0.00,0.01,0.04,0.00,-0.09,-0.02
67784,6503,4.38,-0.10,-0.06,-0.02,0.01,-0.05,0.00,0.03,-0.01,-0.03,-0.09,-0.05,-0.04,0.10
67863,5692,4.35,-0.76,0.59,0.10,0.38,0.30,0.26,0.27,0.28,0.03,-0.02,0.24,0.08,-0.07
68273,5436,4.39,-0.44,0.50,0.04,0.21,0.26,0.20,0.13,0.27,0.04,0.04,0.28,0.06,-0.10
68464,6043,3.87,-1.82,0.55,99.99,0.32,99.99,0.12,0.20,0.23,-0.05,-0.10,99.99,-0.37,-0.33
68468,5848,4.37,0.07,-0.07,0.03,0.01,0.04,0.02,-0.01,0.01,0.01,0.01,0.02,-0.06,-0.01
68727,6368,4.07,-0.70,0.34,0.19,0.19,99.99,0.08,0.15,0.08,-0.05,-0.03,-0.04,-0.12,0.06
68796,5787,4.52,-0.50,99.99,0.04,0.04,0.10,0.04,0.07,0.12,0.03,-0.02,0.00,-0.11,0.07
69220,5698,4.43,-0.12,0.09,-0.03,0.10,0.03,0.02,0.03,0.04,0.00,-0.02,-0.02,-0.04,0.00
69645,5761,4.49,-0.02,0.00,0.01,-0.01,-0.01,0.02,0.01,0.01,0.00,0.01,0.12,0.06,0.05
69780,5823,3.91,-0.64,0.55,0.14,0.41,0.22,0.24,0.24,0.23,-0.01,0.00,0.29,-0.10,-0.09
69796,5928,4.12,-0.05,0.05,0.06,0.01,0.00,0.02,0.01,-0.01,-0.03,-0.04,0.15,-0.08,-0.06
70140,5790,4.02,-0.65,0.50,0.08,0.30,0.18,0.20,0.20,0.21,-0.02,0.00,0.18,0.02,-0.08
70182,5637,3.85,-0.59,0.30,0.02,0.32,0.23,0.18,0.20,0.19,-0.04,-0.01,0.17,-0.13,-0.03
70330,5797,4.09,0.09,-0.04,0.04,0.02,0.05,0.02,-0.01,-0.03,-0.01,0.00,-0.08,-0.14,-0.05
70681,5484,4.48,-1.30,0.82,-0.03,0.46,0.33,0.41,0.31,0.28,0.08,-0.01,0.37,0.29,0.23
70829,5471,4.47,-0.67,0.47,0.07,0.30,0.27,0.21,0.15,0.26,0.06,0.03,0.24,0.29,0.30
70922,5869,4.15,-0.75,0.53,0.05,0.39,0.26,0.23,0.28,0.26,-0.02,-0.02,0.26,-0.04,0.04
71019,5318,3.79,-0.35,0.43,0.08,0.27,0.24,0.18,0.16,0.25,0.02,0.04,0.19,-0.08,-0.14
71284,6958,4.27,-0.24,0.13,-0.02,-0.02,-0.15,0.00,0.07,0.00,-0.08,-0.10,-0.17,0.01,0.41
71470,6268,4.37,-0.62,0.23,0.12,0.18,0.08,0.10,0.08,0.05,-0.05,-0.02,0.02,-0.11,0.01
71735,5513,4.43,-0.35,0.29,-0.06,0.17,0.20,0.08,0.06,0.13,0.02,0.00,0.02,-0.02,-0.08
71844,6398,4.07,-0.67,0.33,0.10,0.14,-0.04,0.05,0.14,0.11,0.01,-0.04,-0.18,-0.08,-0.06
72479,5045,4.56,-0.03,0.37,-0.07,0.05,0.11,0.09,-0.05,0.19,0.04,0.04,0.11,0.17,-0.13
72673,6374,4.29,-0.56,0.17,0.10,0.19,0.17,0.08,0.11,0.14,-0.02,-0.01,0.00,-0.08,-0.03
72688,4864,4.60,-0.11,-0.04,0.00,-0.11,0.05,-0.04,0.17,0.23,0.18,0.00,-0.08,0.52,-0.02
72797,5198,4.72,-0.52,0.36,0.01,-0.02,0.13,0.06,0.03,0.13,0.07,-0.01,0.31,0.54,0.41
73385,5749,3.77,-1.51,0.72,-0.04,0.46,99.99,0.40,0.30,0.29,0.05,0.00,0.21,0.16,-0.02
73444,6077,4.24,-0.94,0.52,0.05,0.38,0.15,0.32,0.27,0.31,0.10,-0.03,0.20,0.96,1.29
73650,5854,4.15,-0.11,-0.05,-0.07,0.10,0.04,0.02,0.04,0.03,-0.01,-0.06,-0.08,-0.19,-0.05
74033,5794,4.10,-0.78,99.99,0.11,0.39,0.33,0.22,0.27,0.32,0.03,0.01,0.16,0.10,-0.06
74067,5695,4.38,-0.81,0.55,0.07,0.31,0.20,0.21,0.22,0.26,0.03,0.00,0.24,-0.02,-0.04
74079,5881,4.00,-0.81,0.50,0.11,0.42,0.15,0.21,0.20,0.20,-0.08,-0.03,0.12,-0.16,-0.18
74234,4977,4.76,-1.39,99.99,-0.48,0.14,99.99,-0.03,0.18,0.28,0.09,-0.14,-0.03,-0.23,-0.37
74235,5065,4.56,-1.46,99.99,-0.47,0.08,99.99,-0.05,0.18,0.21,0.04,-0.15,-0.03,-0.06,-0.39
74389,5814,4.38,0.06,-0.10,0.00,-0.02,-0.01,-0.03,0.01,0.00,0.00,-0.02,-0.06,0.05,-0.02
74500,5703,4.26,0.26,-0.06,0.13,0.07,0.06,0.06,-0.02,0.00,0.01,0.06,0.12,-0.03,-0.04
74537,5200,4.36,-0.19,0.46,0.02,0.15,0.22,0.19,0.06,0.16,0.01,0.06,0.21,0.01,-0.06
74831,5844,4.07,-0.54,0.46,0.10,0.38,0.18,0.20,0.18,0.19,0.00,-0.01,0.10,-0.11,-0.05
75023,6447,3.70,-0.46,0.79,0.07,0.37,0.18,0.22,0.23,0.25,-0.02,-0.01,0.08,-0.04,0.30
75181,5698,4.46,-0.32,0.33,0.05,0.19,0.22,0.15,0.09,0.22,0.02,0.01,0.16,-0.04,-0.10
75206,6447,3.87,0.17,-0.01,0.14,0.03,0.07,0.05,0.07,-0.01,-0.01,-0.02,-0.03,-0.01,0.37
75487,6455,4.14,-0.66,0.18,0.12,0.23,-0.14,0.09,0.11,0.13,-0.02,-0.04,-0.08,-0.13,-0.17
76226,6099,4.07,-0.64,0.25,0.04,0.23,0.13,0.09,0.12,0.07,-0.05,-0.06,0.09,-0.20,-0.04
76394,6067,4.14,-0.07,0.01,0.06,0.15,-0.07,0.03,0.03,-0.02,-0.02,-0.03,-0.07,-0.11,-0.04
76899,5782,4.30,-0.16,0.21,-0.03,0.09,0.06,0.07,0.07,0.09,-0.01,-0.03,0.08,-0.10,-0.05
76976,5658,3.57,-2.62,0.99,99.99,0.40,99.99,99.99,0.24,0.25,99.99,99.99,99.99,99.99,-1.01
76984,5723,4.15,0.01,99.99,0.02,0.03,0.11,0.05,0.02,0.05,-0.01,-0.01,0.16,-0.08,-0.02
77358,5582,4.45,0.11,-0.01,0.01,0.00,0.06,0.04,-0.01,0.03,0.04,0.03,0.00,0.07,0.02
77439,5708,3.92,-0.67,0.46,0.05,0.38,0.25,0.21,0.24,0.25,-0.01,0.01,0.12,-0.06,-0.06
77536,6208,3.89,0.08,0.01,0.12,0.09,-0.03,0.08,0.05,-0.04,-0.02,-0.03,-0.05,-0.02,0.03
77637,5777,4.03,-0.88,0.54,0.08,0.40,0.23,0.27,0.26,0.25,0.03,-0.01,0.26,0.08,0.03
77641,5556,4.48,0.22,-0.06,0.00,-0.05,0.01,0.04,-0.03,0.02,0.04,0.05,0.18,0.03,0.04
78267,5702,4.32,-0.91,0.71,0.03,0.43,0.17,0.29,0.28,0.26,0.07,-0.04,0.12,0.21,0.18
78330,5766,4.26,-0.47,0.37,0.04,0.28,0.27,0.15,0.17,0.20,-0.01,0.00,0.24,-0.12,0.01
78425,5841,4.24,-0.11,0.20,0.06,0.12,0.09,0.09,0.03,0.04,-0.01,-0.01,0.10,-0.17,-0.10
78551,5471,4.37,-0.08,0.10,-0.04,0.05,0.02,0.05,0.01,0.01,0.01,0.01,-0.02,-0.02,-0.03
78556,5761,4.27,-0.27,0.32,0.08,0.28,0.23,0.16,0.15,0.20,0.00,0.03,0.17,-0.08,-0.07
78640,6069,4.30,-1.43,99.99,-0.03,0.34,99.99,0.31,0.35,0.32,0.07,-0.04,0.12,0.12,-0.17
78917,5249,3.53,-1.03,0.46,-0.04,0.44,0.38,0.33,0.32,0.30,0.00,-0.04,0.09,0.33,0.30
78955,5940,4.40,0.37,-0.25,0.05,-0.03,0.03,-0.01,-0.04,0.04,-0.02,0.03,-0.05,-0.02,-0.09
79073,5825,3.80,0.07,-0.09,-0.02,0.07,0.05,0.01,0.04,0.05,-0.04,-0.01,-0.06,0.01,0.09
79137,4937,3.62,0.25,-0.05,-0.02,0.03,0.10,0.00,-0.05,0.09,0.07,0.04,-0.01,0.16,-0.09
79138,6211,4.26,-0.33,0.01,0.07,0.18,0.10,0.06,0.07,0.08,-0.03,-0.02,-0.09,-0.07,-0.04
79576,5492,4.54,-0.77,0.62,0.04,0.34,0.28,0.22,0.24,0.33,0.04,0.01,0.21,0.06,-0.03
79715,5767,4.35,-0.06,0.10,0.00,0.09,0.03,0.02,-0.01,-0.01,-0.02,-0.01,0.00,-0.10,-0.05
79792,5679,4.29,0.07,0.05,0.07,0.06,0.05,0.06,0.00,0.00,0.01,0.03,0.12,-0.05,-0.01
80013,5680,4.15,-0.09,0.20,0.06,0.20,0.17,0.11,0.09,0.13,-0.01,0.01,0.14,-0.11,-0.07
80043,4900,4.70,-0.44,0.03,0.02,0.16,0.16,0.05,0.14,0.31,0.20,0.01,0.01,0.14,-0.11
80114,5700,4.25,-0.67,99.99,-0.08,0.15,0.14,0.10,0.15,0.19,0.00,-0.04,0.06,-0.06,-0.04
80221,5413,4.44,-0.68,0.65,0.12,0.35,0.31,0.25,0.19,0.31,0.06,0.03,0.23,0.06,-0.19
80337,5918,4.54,0.08,-0.20,-0.15,-0.07,-0.08,-0.09,0.03,0.01,-0.01,-0.09,-0.15,0.16,0.31
80423,5630,4.41,-0.70,0.54,0.08,0.33,0.27,0.21,0.18,0.24,0.00,0.01,0.22,-0.05,-0.07
80587,5858,3.99,-0.70,0.45,0.08,0.30,0.26,0.16,0.17,0.15,-0.04,-0.04,0.08,-0.19,-0.12
80686,6143,4.49,-0.01,-0.05,-0.11,-0.05,-0.05,-0.07,0.01,-0.04,-0.02,-0.09,-0.11,0.06,0.22
80700,5330,4.41,0.01,0.14,-0.06,0.08,0.04,0.06,-0.05,0.08,0.01,0.01,0.04,0.02,-0.01
80722,6006,4.03,-0.31,0.13,0.02,0.14,0.06,0.05,0.05,0.05,-0.03,-0.04,0.21,-0.11,0.04
80837,5968,4.25,-0.74,99.99,0.11,0.36,99.99,0.21,0.21,0.28,0.01,0.02,0.17,-0.12,-0.19
81041,5773,4.02,-0.58,0.54,0.10,0.39,0.24,0.23,0.22,0.24,0.00,0.01,0.20,-0.11,-0.14
81269,5717,4.45,0.25,-0.21,0.09,-0.06,-0.02,0.03,-0.01,0.04,0.05,0.04,-0.02,-0.01,-0.06
81300,5216,4.59,-0.01,0.17,-0.07,0.03,0.00,0.08,-0.07,0.08,0.12,0.02,0.01,0.24,-0.01
81461,5748,4.28,-0.50,0.52,0.11,0.38,0.30,0.21,0.18,0.27,0.01,0.02,0.16,-0.04,-0.02
81520,5746,4.62,-0.44,0.21,-0.03,0.09,0.07,0.04,0.04,0.12,0.03,-0.02,-0.02,-0.01,0.05
81580,6112,3.77,-0.66,0.29,0.12,0.22,0.00,0.10,0.11,0.09,-0.04,-0.05,0.02,-0.11,0.02
81603,5594,4.27,-0.03,0.10,-0.02,0.06,0.08,0.04,0.05,0.04,0.02,-0.02,0.01,-0.06,-0.02
81749,5333,3.85,-0.32,0.42,0.06,0.31,0.29,0.19,0.16,0.24,-0.01,0.05,0.17,-0.08,-0.14
81952,5692,4.40,0.24,-0.05,0.19,0.03,0.16,0.05,0.05,0.13,0.07,0.05,0.02,0.09,-0.19
82062,6057,4.10,-0.55,0.19,0.02,0.20,0.05,0.08,0.08,0.08,-0.01,-0.07,-0.01,-0.12,-0.12
82265,5365,4.17,0.07,0.10,-0.04,0.03,0.10,0.05,0.02,0.03,-0.01,0.01,0.10,-0.11,-0.04
82588,5322,4.50,-0.08,0.24,-0.11,-0.05,0.01,0.03,-0.05,-0.03,0.03,-0.04,-0.03,0.21,0.13
82621,5703,3.93,0.19,-0.13,0.04,0.04,0.09,0.02,0.01,0.02,0.01,0.00,0.02,-0.08,-0.04
83204,5994,4.26,-0.30,0.08,0.03,0.12,0.07,0.05,0.04,0.04,-0.02,-0.03,0.26,-0.13,-0.08
83229,5865,4.41,-0.49,0.37,0.06,0.27,0.29,0.17,0.17,0.27,0.05,0.04,0.17,-0.09,-0.10
83241,5854,4.27,-0.17,0.11,-0.01,0.11,0.05,0.04,0.03,0.01,-0.01,-0.02,-0.01,-0.13,0.01
83276,5906,4.26,-0.07,-0.01,-0.06,0.03,-0.02,-0.01,0.03,0.01,-0.02,-0.06,-0.04,-0.14,-0.03
83301,6416,3.87,-0.35,0.17,0.05,0.09,-0.02,0.04,0.08,0.13,0.03,-0.09,-0.15,0.15,0.31
83489,5722,4.28,-0.29,0.34,0.05,0.28,0.19,0.13,0.11,0.18,0.00,0.00,0.13,-0.07,-0.03
83562,5608,4.34,-0.24,0.40,0.04,0.17,0.23,0.13,0.10,0.19,0.01,0.03,0.18,-0.02,-0.08
83601,6271,4.71,0.14,-0.17,-0.14,-0.13,-0.08,-0.09,-0.02,0.00,-0.01,-0.08,-0.10,0.00,0.14
83867,6193,3.97,-0.23,0.06,0.02,0.09,-0.10,0.02,0.03,-0.01,-0.01,-0.05,-0.12,0.02,0.11
84255,5371,4.54,-0.56,0.29,0.02,0.13,0.10,0.07,0.05,0.07,0.06,-0.02,0.01,0.01,0.08
84551,6474,3.87,0.12,99.99,-0.03,0.02,0.05,0.02,0.06,-0.01,-0.01,-0.06,-0.16,0.09,0.35
84636,5941,4.22,0.30,-0.15,0.17,-0.02,0.05,0.02,-0.06,0.04,0.00,0.07,0.04,-0.10,-0.07
84781,5306,3.78,-0.25,0.26,0.01,0.25,0.24,0.14,0.14,0.21,0.00,0.00,0.04,0.05,-0.03
84803,5669,4.01,-0.39,0.36,0.13,0.22,0.26,0.16,0.20,0.21,0.03,-0.01,0.04,-0.10,-0.15
84905,5915,4.31,-0.50,0.32,0.00,0.25,0.30,0.16,0.17,0.28,0.03,0.00,0.09,-0.02,0.01
84907,5387,4.46,-0.08,0.13,-0.05,0.01,0.02,0.06,-0.04,0.02,0.04,0.00,0.06,0.06,0.05
84988,5686,4.25,-0.70,0.54,0.09,0.35,0.24,0.22,0.23,0.24,0.02,0.00,0.19,-0.11,-0.02
85007,6064,4.32,-0.39,0.06,0.05,0.07,0.01,0.00,0.03,0.00,-0.06,-0.04,-0.06,-0.17,-0.02
85042,5648,4.46,0.00,-0.01,-0.06,0.02,0.09,0.01,-0.03,0.03,0.03,0.02,-0.03,-0.05,-0.04
85320,5030,3.46,-0.13,0.12,0.04,0.16,0.11,0.08,0.04,0.10,0.01,0.00,0.03,0.06,-0.02
85474,6500,3.71,0.21,0.45,0.28,0.31,0.20,0.10,0.08,0.09,0.00,-0.02,0.09,-0.06,0.48
85757,5526,3.91,-0.66,99.99,0.10,0.37,0.23,0.21,0.27,0.30,0.02,-0.01,0.18,0.08,-0.08
85963,6535,4.13,-0.61,0.16,0.09,0.21,-0.19,0.10,0.12,0.10,-0.05,-0.02,-0.03,-0.11,-0.15
85969,5782,4.24,0.10,-0.03,0.01,-0.02,0.00,0.01,0.01,0.00,0.01,0.00,-0.01,-0.03,0.00
86013,5760,4.30,-0.81,0.61,0.12,0.34,0.33,0.24,0.26,0.27,0.03,0.00,0.17,-0.04,-0.07
86193,5671,4.29,0.03,0.06,-0.03,0.01,0.08,0.03,0.00,0.03,-0.01,-0.01,0.26,-0.12,-0.02
86516,5609,3.70,-0.23,0.02,0.06,0.16,0.10,0.04,0.07,-0.03,-0.03,-0.05,-0.02,-0.13,0.09
86694,5986,3.87,-1.85,0.46,0.18,0.33,99.99,0.20,0.23,0.24,-0.06,-0.04,0.15,-0.04,-0.16
86731,5894,3.97,0.29,-0.15,0.14,0.03,0.07,0.05,-0.04,0.02,0.00,0.04,0.13,-0.01,-0.09
86796,5720,4.11,0.26,99.99,0.13,-0.03,0.08,0.04,-0.01,-0.01,0.02,0.04,0.08,-0.10,-0.08
87101,5709,3.67,-1.57,0.76,-0.05,0.49,0.30,0.28,0.31,0.24,-0.09,-0.12,0.13,-0.08,-0.18
87154,5616,4.13,0.13,0.03,0.03,0.10,0.11,0.06,0.05,0.06,-0.01,0.03,0.02,-0.09,-0.01
87443,5726,3.86,-0.03,-0.08,0.01,0.04,0.02,0.02,0.03,0.02,-0.03,-0.01,0.01,-0.06,0.01
87523,6135,4.19,-0.33,0.06,0.09,0.11,0.08,0.04,0.06,0.10,-0.03,-0.02,0.00,-0.03,0.09
87533,5923,4.02,-0.12,0.06,0.02,0.10,0.04,0.02,0.07,0.03,-0.02,-0.06,-0.09,-0.12,-0.03
87539,5664,3.97,-0.86,0.55,0.10,0.41,0.29,0.21,0.25,0.27,0.00,-0.03,0.10,-0.01,-0.09
87679,5357,4.34,0.11,0.16,0.02,0.06,0.09,0.09,-0.03,0.06,0.03,0.06,0.13,-0.05,0.00
87769,5765,4.29,0.02,-0.04,0.03,0.04,0.00,0.02,0.03,-0.02,0.00,-0.01,0.00,-0.03,0.00
87841,5887,4.40,0.12,-0.11,0.05,0.02,0.02,0.02,0.02,0.01,0.00,0.03,0.10,-0.01,0.00
88010,5424,4.43,-1.34,0.77,-0.22,0.34,99.99,0.14,0.30,0.22,0.06,-0.15,0.05,-0.10,-0.09
88622,5794,4.49,-0.40,0.39,0.03,0.25,0.23,0.17,0.11,0.21,0.03,0.00,0.18,-0.16,-0.07
88631,5637,4.37,0.28,-0.09,-0.06,-0.09,0.01,0.04,-0.04,0.04,0.01,0.02,-0.05,-0.04,0.01
88945,5869,4.62,0.02,99.99,-0.06,-0.08,-0.02,-0.06,0.10,0.01,0.04,-0.05,-0.14,0.10,0.26
89036,5870,4.26,-0.02,-0.03,-0.06,0.02,-0.02,-0.02,0.02,0.02,-0.02,-0.04,0.01,-0.10,-0.03
89076,5670,4.32,0.01,0.02,0.04,-0.01,0.01,0.03,0.01,-0.03,0.01,0.01,0.03,-0.04,-0.02
