Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD210272,5713,4.13,-0.22,-0.250,-0.123,-0.145,-0.177,-0.187,-0.200,-0.153,-0.137,-0.128,-0.180,-0.227,-0.187,-0.330,-0.200,-0.231
HD210277,5505,4.30,0.18,0.265,0.267,0.290,0.228,0.166,0.280,0.258,0.291,0.256,0.349,0.201,0.167,0.263,0.353,0.211
HD210320,5597,4.31,0.11,0.210,0.233,0.160,0.171,0.128,0.247,0.248,0.197,0.193,0.214,0.116,0.133,0.148,0.280,0.137
HD210329,4965,4.40,-0.18,-0.120,-0.190,-0.095,-0.187,-0.141,0.017,-0.170,0.019,-0.128,0.301,-0.153,-0.193,-0.160,-0.070,-0.173
HD210507,4998,4.42,0.07,0.070,0.007,0.100,0.063,0.047,0.237,0.020,0.180,0.068,0.480,0.095,0.103,0.123,0.186,0.087
HD210573,4918,4.48,-0.07,0.070,-0.053,0.135,-0.049,-0.078,0.377,-0.060,0.191,-0.068,0.480,-0.017,-0.067,-0.105,0.089,-0.055
HD210752,5951,4.53,-0.58,-0.580,-0.480,-0.615,-0.504,-0.479,-0.455,-0.512,-0.493,-0.473,-0.587,-0.603,-0.533,-0.735,-0.587,-0.611
HD210918,5755,4.35,-0.09,-0.105,-0.007,0.020,-0.059,-0.023,0.000,-0.023,0.003,-0.002,-0.059,-0.084,-0.093,-0.235,-0.066,-0.107
HD210975,4749,4.37,-0.43,-0.210,-0.260,-0.110,-0.392,-0.280,0.287,-0.250,0.057,-0.265,0.336,-0.284,-0.553,-0.448,-0.263,-0.415
HD211038,4989,3.68,-0.25,-0.105,0.010,0.075,-0.088,-0.101,-0.017,-0.048,0.068,0.052,0.221,-0.217,-0.217,-0.240,0.049,-0.203
HD211188,5053,4.41,-0.12,-0.015,-0.127,-0.045,-0.127,-0.068,0.010,-0.120,0.021,-0.185,0.283,-0.099,-0.100,-0.087,-0.040,-0.129
HD211317,5965,4.30,0.27,0.420,0.270,0.580,0.311,0.262,0.353,0.353,0.296,0.288,0.344,0.269,0.277,0.468,0.374,0.328
HD21132,6243,4.60,-0.37,-0.345,-0.333,-0.535,-0.306,-0.289,99.99,-0.327,-0.283,-0.275,-0.276,-0.374,-0.373,-0.475,-0.353,-0.393
HD211369,4984,4.44,0.04,0.145,0.013,0.060,0.013,0.078,0.247,-0.037,0.200,0.012,0.514,0.068,-0.010,0.073,0.130,0.054
HD211415,5850,4.39,-0.21,-0.155,-0.160,-0.195,-0.183,-0.153,-0.170,-0.193,-0.160,-0.173,-0.230,-0.205,-0.230,-0.320,-0.190,-0.229
HD211534,5032,4.43,-0.31,-0.230,-0.310,-0.255,-0.306,-0.262,-0.203,-0.332,-0.107,-0.245,0.066,-0.260,-0.387,-0.348,-0.220,-0.334
HD211583,4761,4.39,0.05,0.370,0.030,0.305,0.031,0.159,0.743,0.185,0.371,0.033,0.693,0.096,0.010,0.068,0.311,0.139
HD21161,5923,4.24,0.09,0.180,0.090,0.135,0.150,0.107,0.140,0.145,0.110,0.092,0.103,0.067,0.067,0.088,0.114,0.106
HD212036,5687,4.41,-0.01,0.005,-0.023,0.030,-0.009,-0.008,-0.003,0.010,-0.009,0.027,0.004,-0.008,-0.010,-0.010,0.015,-0.006
HD21209A,4671,4.31,-0.41,-0.200,-0.297,-0.180,-0.389,-0.255,0.157,-0.383,-0.100,-0.352,0.179,-0.292,-0.550,-0.488,-0.306,-0.404
HD212231,5762,4.20,-0.30,-0.210,-0.063,0.035,-0.168,-0.167,-0.133,-0.138,-0.115,-0.128,-0.228,-0.303,-0.287,-0.428,-0.194,-0.281
HD212301,6271,4.55,0.18,0.135,0.087,0.000,0.183,0.193,0.207,0.185,0.164,0.170,0.150,0.166,0.230,0.220,0.117,0.185
HD21251,4920,4.41,-0.09,-0.055,-0.110,0.475,-0.065,-0.029,0.063,-0.162,-0.007,-0.070,0.305,-0.097,-0.153,-0.128,-0.050,-0.105
HD212563,5018,4.52,-0.02,-0.040,0.063,0.080,-0.042,-0.028,0.080,-0.080,0.057,-0.007,0.320,-0.005,-0.030,-0.085,-0.006,-0.043
HD212580,5155,4.44,-0.11,-0.100,-0.087,-0.065,-0.100,-0.043,-0.033,-0.142,-0.016,-0.168,0.154,-0.066,-0.140,-0.118,-0.093,-0.135
HD212708,5681,4.35,0.27,0.395,0.293,0.325,0.298,0.212,0.350,0.347,0.295,0.266,0.374,0.281,0.263,0.375,0.421,0.331
HD212918,5051,4.48,-0.21,-0.285,-0.197,-0.075,-0.218,-0.204,-0.060,-0.218,-0.022,-0.162,0.196,-0.173,-0.233,-0.260,-0.186,-0.252
HD213042,4831,4.38,0.08,0.520,0.167,0.425,0.106,0.115,0.707,0.143,0.359,-0.013,0.661,0.138,0.000,0.100,0.314,0.148
