Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD48611,5337,4.51,-0.36,-0.305,-0.243,-0.275,-0.307,-0.307,-0.297,-0.318,-0.227,-0.318,-0.230,-0.327,-0.337,-0.415,-0.313,-0.370
HD49035,5640,4.35,0.24,0.390,0.313,0.315,0.272,0.188,0.350,0.277,0.275,0.216,0.366,0.253,0.267,0.313,0.376,0.292
HD4915,5658,4.52,-0.21,-0.200,-0.150,-0.180,-0.179,-0.172,-0.153,-0.212,-0.126,-0.170,-0.166,-0.182,-0.197,-0.278,-0.203,-0.232
HD50590,4870,4.39,-0.22,-0.115,-0.093,-0.010,-0.171,-0.140,0.197,-0.215,0.091,-0.168,0.384,-0.153,-0.297,-0.240,-0.124,-0.233
HD50806,5633,4.11,0.03,0.095,0.197,0.210,0.123,0.096,0.170,0.190,0.171,0.092,0.149,0.041,0.010,0.018,0.171,0.070
HD51608,5358,4.36,-0.07,-0.065,0.020,0.060,-0.019,0.002,0.020,-0.045,0.054,-0.017,0.133,-0.040,-0.070,-0.070,-0.009,-0.069
HD51754,5848,4.49,-0.55,-0.470,-0.293,-0.395,-0.376,-0.363,-0.353,-0.355,-0.290,-0.278,-0.425,-0.557,-0.487,-0.733,-0.434,-0.523
HD52265,6136,4.36,0.21,0.255,0.180,0.175,0.222,0.217,0.280,0.265,0.211,0.225,0.186,0.201,0.240,0.240,0.181,0.224
HD52449,6362,4.55,0.12,0.090,0.027,0.010,0.111,0.142,0.203,0.115,0.125,0.115,0.110,0.121,0.160,0.110,0.086,0.091
HD52919,4698,4.37,-0.17,-0.110,-0.190,-0.005,-0.149,-0.101,0.320,-0.203,0.034,-0.193,0.344,-0.125,-0.243,-0.225,-0.037,-0.143
HD5349,5092,3.88,0.43,0.525,0.450,0.585,0.479,0.340,0.773,0.557,0.523,0.397,0.910,0.418,0.447,0.583,0.819,0.491
HD5388,6311,4.24,-0.28,0.170,-0.353,-0.390,-0.216,-0.175,99.99,-0.190,-0.158,-0.178,-0.275,-0.303,-0.260,-0.360,-0.315,-0.297
HD54521,5973,4.54,-0.01,-0.025,-0.010,-0.065,-0.035,-0.022,-0.060,-0.025,-0.003,-0.022,-0.054,-0.001,-0.033,-0.103,-0.054,-0.041
HD5599.99,4679,4.51,-0.66,-0.480,-0.567,-0.415,-0.634,-0.471,-0.033,-0.563,-0.293,-0.673,0.060,-0.546,-0.687,-0.753,-0.517,-0.663
HD55693,5914,4.43,0.29,0.515,0.337,0.650,0.325,0.363,0.577,0.397,0.409,0.363,0.523,0.389,0.210,0.443,0.471,0.526
HD56274,5734,4.51,-0.54,-0.465,-0.457,-0.450,-0.476,-0.463,-0.460,-0.487,-0.460,-0.475,-0.540,-0.547,-0.527,-0.653,-0.523,-0.556
HD56380,5317,4.35,-0.42,-0.285,-0.177,-0.125,-0.269,-0.257,-0.267,-0.312,-0.158,-0.265,-0.186,-0.384,-0.377,-0.528,-0.298,-0.405
HD564,5902,4.53,-0.20,-0.210,-0.163,-0.235,-0.182,-0.150,-0.190,-0.180,-0.150,-0.152,-0.220,-0.191,-0.163,-0.288,-0.234,-0.241
HD57568,4821,4.51,-0.47,-0.245,-0.407,-0.275,-0.489,-0.317,0.107,-0.455,-0.043,-0.162,0.240,-0.324,-0.617,-0.548,-0.333,-0.452
HD58489,4800,4.33,0.10,0.295,0.180,0.345,0.149,0.226,0.683,0.158,0.329,0.102,0.688,0.112,0.035,0.100,0.355,0.142
HD58676,5104,4.37,-0.02,0.020,-0.030,0.075,-0.023,-0.030,0.077,-0.083,0.062,-0.048,0.305,0.011,-0.037,0.020,0.017,-0.030
HD59468,5618,4.39,0.03,0.085,0.080,0.100,0.046,0.022,0.090,0.062,0.071,0.052,0.101,0.048,0.000,0.060,0.087,0.055
HD59711A,5722,4.46,-0.12,-0.100,-0.087,-0.110,-0.111,-0.092,-0.117,-0.112,-0.094,-0.095,-0.120,-0.115,-0.120,-0.185,-0.133,-0.131
HD59984,5962,4.18,-0.69,-0.655,-0.520,-0.665,-0.551,-0.522,-0.540,-0.558,-0.523,-0.508,-0.678,-0.706,-0.640,-0.895,-0.695,-0.707
HD61051,5363,4.37,-0.10,-0.005,0.097,0.145,-0.002,-0.013,0.070,0.030,0.092,-0.004,0.148,-0.089,-0.123,-0.088,0.040,-0.077
HD61383,5716,4.20,-0.49,-0.430,-0.190,-0.220,-0.266,-0.243,-0.323,-0.248,-0.181,-0.185,-0.333,-0.484,-0.470,-0.705,-0.358,-0.446
HD61447,5637,4.37,0.17,0.350,0.103,0.280,0.190,0.142,0.227,0.248,0.190,0.107,0.290,0.188,0.123,0.358,0.333,0.244
HD61902,6209,4.38,-0.62,-0.530,-0.500,-0.610,-0.509,-0.503,99.99,-0.482,-0.456,-0.452,-0.568,-0.610,-0.590,-0.788,-0.553,-0.640
HD61986,5725,4.48,-0.34,-0.330,-0.260,-0.235,-0.286,-0.268,-0.300,-0.267,-0.248,-0.265,-0.346,-0.333,-0.317,-0.450,-0.327,-0.354
HD62128,5828,4.22,0.33,0.465,0.340,0.320,0.337,0.266,0.350,0.357,0.295,0.345,0.353,0.325,0.273,0.410,0.383,0.360
HD62364,6255,4.47,-0.11,-0.125,0.217,-0.225,-0.063,-0.062,0.013,-0.022,-0.085,-0.025,-0.088,-0.133,-0.070,-0.218,-0.189,-0.141
HD62847,5362,4.48,-0.25,-0.295,-0.240,-0.235,-0.241,-0.218,-0.220,-0.275,-0.165,-0.240,-0.143,-0.228,-0.220,-0.310,-0.289,-0.295
HD62849,5338,3.59,-0.17,-0.120,-0.120,-0.060,-0.123,-0.097,-0.087,-0.127,-0.106,-0.085,-0.050,-0.185,-0.173,-0.210,-0.176,-0.209
HD63454,4840,4.30,0.06,0.205,-0.033,0.200,0.101,0.098,0.360,0.035,0.198,0.027,0.514,0.062,0.007,0.048,0.146,0.084
HD6348,5107,4.51,-0.56,-0.555,-0.387,-0.410,-0.480,-0.437,-0.460,-0.525,-0.334,-0.485,-0.306,-0.535,-0.493,-0.680,-0.443,-0.585
HD63685,5497,4.05,0.00,0.090,0.140,0.200,0.098,0.052,0.093,0.150,0.132,0.217,0.145,0.001,-0.030,0.095,0.140,0.030
HD63754,6200,4.21,0.21,0.410,0.210,0.215,0.224,0.171,0.227,0.288,0.220,0.223,0.259,0.185,0.163,0.248,0.242,0.258
HD63765,5432,4.42,-0.16,-0.150,-0.123,-0.150,-0.149,-0.120,-0.153,-0.210,-0.105,-0.175,-0.086,-0.135,-0.167,-0.193,-0.173,-0.197
HD64640,5174,4.31,0.18,0.370,0.280,0.295,0.240,0.154,0.313,0.183,0.246,0.133,0.544,0.197,0.183,0.273,0.400,0.222
HD65216,5612,4.44,-0.17,-0.180,-0.130,-0.155,-0.166,-0.124,-0.173,-0.213,-0.118,-0.163,-0.155,-0.141,-0.183,-0.205,-0.197,-0.207
HD65277,4802,4.43,-0.31,-0.150,-0.243,-0.050,-0.258,-0.170,0.227,-0.287,0.030,-0.312,0.319,-0.197,-0.390,-0.365,-0.160,-0.293
HD65562,5076,4.39,-0.10,0.010,-0.007,0.115,-0.031,0.008,0.167,-0.077,0.133,0.030,0.394,-0.048,-0.147,-0.103,0.044,-0.101
HD65907A,5945,4.52,-0.31,-0.205,-0.047,-0.090,-0.129,-0.136,-0.120,-0.095,-0.093,-0.075,-0.204,-0.307,-0.250,-0.505,-0.198,-0.271
HD65982,5947,4.42,-0.10,-0.055,-0.090,-0.030,-0.087,-0.077,-0.027,-0.027,-0.075,-0.065,-0.148,-0.121,-0.087,-0.128,-0.097,-0.096
HD66039,6149,4.52,0.17,0.100,0.117,0.095,0.134,0.178,0.187,0.143,0.161,0.122,0.141,0.163,0.187,0.103,0.099,0.137
HD66040,5226,4.34,0.35,0.535,0.363,0.460,0.390,0.275,0.540,0.415,0.440,0.363,0.769,0.341,0.347,0.485,0.623,0.422
HD66168,6198,4.69,-0.03,-0.155,-0.170,-0.135,-0.059,-0.018,-0.127,-0.035,-0.028,-0.010,-0.066,-0.034,-0.003,-0.073,-0.153,-0.069
HD66221,5635,4.40,0.17,0.265,0.217,0.260,0.201,0.145,0.260,0.262,0.239,0.245,0.305,0.188,0.163,0.223,0.290,0.218
HD66340,5284,4.36,0.03,0.120,0.057,0.125,0.039,0.025,0.120,0.028,0.118,-0.015,0.289,0.059,-0.017,0.077,0.130,0.069
HD66428,5705,4.31,0.25,0.435,0.550,0.325,0.305,0.215,0.370,0.307,0.270,0.235,0.337,0.261,0.253,0.413,0.383,0.320
HD6673,4960,4.49,-0.26,-0.190,-0.230,-0.155,-0.236,-0.183,-0.033,-0.272,-0.036,-0.300,0.190,-0.214,-0.307,-0.310,-0.217,-0.277
HD66740,6666,4.49,0.04,0.055,-0.135,-0.270,0.038,0.055,0.370,0.008,0.048,0.012,0.075,0.038,0.010,-0.018,-0.045,-0.008
HD66838,5392,4.29,0.03,0.075,0.180,0.065,0.041,0.033,0.053,-0.017,0.101,0.012,0.190,0.042,-0.033,0.078,0.104,0.037
HD6799.99,5746,4.56,0.03,0.040,0.010,-0.005,0.006,0.030,0.057,0.002,0.056,0.015,0.072,0.057,-0.003,-0.005,-0.001,-0.008
HD6718,5723,4.44,-0.07,-0.050,-0.080,-0.060,-0.083,-0.057,-0.040,-0.087,-0.055,-0.053,-0.076,-0.071,-0.017,-0.073,-0.073,-0.081
HD67200,6105,4.44,0.32,0.420,0.187,0.295,0.380,0.280,0.373,0.380,0.301,0.322,0.328,0.313,0.280,0.570,0.357,0.362
HD6735,6082,4.49,-0.06,-0.065,-0.060,-0.135,-0.036,-0.015,-0.013,-0.048,-0.036,-0.048,-0.098,-0.068,-0.050,-0.135,-0.116,-0.093
HD67458,5891,4.53,-0.16,-0.195,-0.130,-0.140,-0.130,-0.099,-0.083,-0.107,-0.090,-0.102,-0.147,-0.147,-0.157,-0.238,-0.163,-0.179
HD68089,5597,4.53,-0.77,-0.725,-0.383,-0.570,-0.596,-0.554,-0.585,-0.598,-0.515,-0.540,-0.663,-0.732,-0.697,-1.015,-0.649,-0.764
HD68284,5933,4.08,-0.50,-0.430,-0.397,-0.525,-0.417,-0.370,-0.345,-0.357,-0.365,-0.335,-0.453,-0.536,-0.463,-0.675,-0.471,-0.511
HD68287,6318,4.63,0.06,0.085,-0.023,-0.050,0.047,0.078,0.120,0.153,0.083,0.080,0.054,0.036,0.030,0.020,-0.030,0.060
HD68607,5215,4.41,0.07,0.140,0.107,0.135,0.094,0.079,0.167,0.052,0.165,0.077,0.365,0.108,0.027,0.133,0.146,0.080
HD68978A,5965,4.48,0.04,0.050,0.020,0.030,0.050,0.068,0.087,0.058,0.056,0.057,0.033,0.044,0.010,0.020,0.036,0.042
HD69611,5762,4.31,-0.58,-0.435,-0.250,-0.320,-0.356,-0.315,-0.365,-0.365,-0.294,-0.255,-0.444,-0.576,-0.500,-0.853,-0.478,-0.568
HD69655,5961,4.44,-0.18,-0.135,-0.187,-0.185,-0.168,-0.143,-0.153,-0.160,-0.164,-0.155,-0.223,-0.190,-0.173,-0.248,-0.203,-0.193
HD69830,5402,4.40,-0.06,-0.005,-0.013,0.030,-0.022,-0.033,0.010,-0.045,0.025,-0.045,0.098,-0.042,-0.077,-0.048,0.033,-0.042
HD70642,5668,4.40,0.18,0.295,0.343,0.220,0.201,0.158,0.203,0.240,0.180,0.188,0.241,0.176,0.197,0.280,0.264,0.221
HD70889,6051,4.49,0.11,0.055,0.093,0.030,0.087,0.112,0.113,0.085,0.100,0.088,0.063,0.117,0.147,0.100,0.039,0.085
HD70903,5118,4.52,-0.43,-0.380,-0.387,-0.315,-0.381,-0.361,-0.293,-0.408,-0.268,-0.378,-0.188,-0.419,-0.430,-0.503,-0.370,-0.444
HD71334,5694,4.37,-0.09,-0.075,-0.023,-0.025,-0.057,-0.041,-0.020,-0.045,-0.025,-0.052,-0.055,-0.076,-0.110,-0.143,-0.068,-0.092
HD7134,5940,4.41,-0.29,-0.280,-0.210,-0.260,-0.239,-0.225,-0.207,-0.222,-0.218,-0.203,-0.285,-0.287,-0.283,-0.385,-0.299,-0.309
HD71479,6026,4.42,0.24,0.345,0.240,0.265,0.253,0.238,0.330,0.330,0.260,0.280,0.278,0.241,0.180,0.280,0.301,0.295
HD71685,6038,4.58,-0.37,-0.410,-0.373,-0.445,-0.335,-0.296,-0.245,-0.307,-0.292,-0.290,-0.303,-0.396,-0.350,-0.510,-0.348,-0.387
HD71835,5438,4.39,-0.04,-0.005,-0.017,0.010,-0.022,-0.014,-0.017,-0.042,-0.015,-0.097,0.051,-0.029,-0.037,0.005,0.003,-0.025
HD7199,5386,4.34,0.28,0.520,0.337,0.385,0.359,0.228,0.453,0.390,0.356,0.383,0.571,0.325,0.273,0.363,0.501,0.370
HD72374,5767,4.35,-0.09,-0.065,-0.040,-0.040,-0.052,-0.058,-0.023,-0.070,-0.057,-0.083,-0.086,-0.077,-0.127,-0.098,-0.063,-0.103
HD72579,5449,4.27,0.20,0.280,0.297,0.280,0.242,0.195,0.263,0.238,0.247,0.253,0.374,0.215,0.150,0.328,0.296,0.219
HD72659,5926,4.24,-0.02,0.040,0.017,0.015,0.004,0.015,0.060,0.050,0.003,0.000,-0.021,-0.025,-0.010,-0.095,-0.001,-0.018
HD72673,5243,4.46,-0.41,-0.305,-0.313,-0.270,-0.348,-0.342,-0.283,-0.393,-0.237,-0.387,-0.190,-0.372,-0.397,-0.453,-0.360,-0.412
HD72769,5640,4.35,0.30,0.425,0.327,0.340,0.339,0.238,0.377,0.372,0.325,0.312,0.414,0.314,0.290,0.405,0.419,0.353
HD73121,6091,4.30,0.09,0.130,0.107,0.110,0.108,0.114,0.150,0.170,0.114,0.142,0.090,0.067,0.087,0.050,0.084,0.099
HD73256,5526,4.42,0.23,0.275,0.237,0.290,0.267,0.217,0.337,0.237,0.279,0.255,0.394,0.269,0.203,0.258,0.337,0.263
HD73267,5373,4.37,0.05,0.085,0.133,0.190,0.094,0.085,0.170,0.100,0.201,0.135,0.319,0.079,0.023,0.093,0.159,0.058
HD73524,6017,4.43,0.16,0.115,0.190,0.170,0.155,0.191,0.230,0.205,0.200,0.207,0.171,0.172,0.130,0.105,0.153,0.166
HD73583,4695,4.50,-0.21,-0.125,-0.283,-0.120,-0.261,-0.078,0.190,-0.255,0.027,-0.143,0.276,-0.166,-0.313,-0.353,-0.187,-0.255
HD74014,5561,4.33,0.22,0.350,0.247,0.285,0.263,0.185,0.290,0.265,0.252,0.216,0.351,0.234,0.167,0.345,0.324,0.273
HD7449,6024,4.51,-0.11,-0.145,-0.137,-0.175,-0.097,-0.058,-0.063,-0.110,-0.068,-0.075,-0.129,-0.105,-0.100,-0.165,-0.157,-0.145
HD74698,5783,4.27,0.07,0.070,0.127,0.125,0.093,0.102,0.127,0.135,0.109,0.125,0.094,0.078,0.080,0.085,0.106,0.072
HD74957,5915,4.54,-0.18,-0.075,-0.123,-0.125,-0.174,-0.141,-0.193,-0.095,-0.109,-0.112,-0.179,-0.194,-0.160,-0.228,-0.181,-0.191
HD750,5060,4.39,-0.29,-0.310,-0.320,-0.290,-0.295,-0.278,-0.300,-0.375,-0.206,-0.345,-0.101,-0.279,-0.237,-0.345,-0.318,-0.363
HD75289,6161,4.37,0.30,0.210,0.227,0.280,0.292,0.337,0.380,0.328,0.311,0.330,0.300,0.286,0.217,0.228,0.269,0.298
HD75328,6003,4.46,-0.23,-0.180,-0.217,-0.225,-0.197,-0.153,-0.230,-0.148,-0.206,-0.162,-0.274,-0.229,-0.223,-0.315,-0.216,-0.258
HD75530,5311,4.48,-0.54,-0.405,-0.273,-0.245,-0.369,-0.326,-0.330,-0.375,-0.208,-0.307,-0.271,-0.480,-0.517,-0.690,-0.393,-0.510
HD75745,5885,4.29,-0.78,-0.680,-0.513,-0.660,-0.558,-0.562,-0.530,-0.605,-0.480,-0.495,-0.620,-0.781,-0.727,-1.013,-0.603,-0.746
HD75881,6239,4.44,0.07,-0.060,0.020,-0.190,0.061,0.047,-0.003,0.308,0.092,0.136,0.001,0.061,0.073,0.052,0.066,0.058
HD76151,5788,4.48,0.12,0.170,0.123,0.100,0.117,0.128,0.147,0.108,0.123,0.085,0.149,0.139,0.080,0.070,0.163,0.131
HD76188,5989,4.08,-0.44,-0.365,-0.380,-0.575,-0.374,-0.301,-0.165,-0.355,-0.320,-0.333,-0.473,-0.447,-0.397,-0.588,-0.330,-0.453
HD76440,5764,4.43,-0.01,-0.025,-0.010,0.305,-0.034,0.001,0.013,0.045,0.041,0.037,0.037,-0.018,0.027,-0.053,0.023,-0.012
HD77110,5717,4.48,-0.50,-0.425,-0.243,-0.320,-0.353,-0.345,-0.363,-0.352,-0.278,-0.288,-0.405,-0.494,-0.467,-0.675,-0.431,-0.503
HD78429,5760,4.33,0.09,0.065,0.077,0.110,0.091,0.093,0.160,0.192,0.103,0.126,0.124,0.103,0.070,0.085,0.133,0.077
HD78538,5786,4.50,-0.03,-0.125,-0.040,-0.055,-0.054,0.015,-0.037,-0.090,0.004,-0.035,-0.029,-0.011,-0.060,-0.088,-0.104,-0.085
HD78558,5711,4.36,-0.44,-0.295,-0.147,-0.155,-0.223,-0.237,-0.227,-0.237,-0.154,-0.163,-0.311,-0.424,-0.377,-0.660,-0.307,-0.399
HD78612,5834,4.27,-0.24,-0.240,-0.123,-0.160,-0.176,-0.155,-0.203,-0.157,-0.145,-0.085,-0.244,-0.248,-0.220,-0.383,-0.244,-0.272
HD78747,5788,4.44,-0.67,-0.530,-0.297,-0.400,-0.445,-0.412,-0.445,-0.495,-0.363,-0.375,-0.545,-0.649,-0.607,-0.915,-0.597,-0.649
HD78964B,5195,4.50,0.10,0.075,0.067,0.090,0.074,0.087,0.140,0.040,0.164,0.067,0.363,0.121,0.103,0.123,0.123,0.083
HD79601,5825,4.32,-0.59,-0.455,-0.283,-0.410,-0.366,-0.368,-0.390,-0.420,-0.314,-0.315,-0.471,-0.587,-0.543,-0.818,-0.490,-0.568
HD8038,5694,4.45,0.15,0.155,0.103,0.110,0.133,0.143,0.160,0.147,0.184,0.145,0.218,0.159,0.033,0.183,0.193,0.145
HD80883,5233,4.44,-0.25,-0.215,-0.213,-0.200,-0.223,-0.198,-0.197,-0.308,-0.157,-0.268,-0.085,-0.218,-0.243,-0.285,-0.244,-0.284
HD81639,5522,4.40,-0.17,-0.145,-0.067,-0.070,-0.142,-0.124,-0.100,-0.120,-0.075,-0.152,-0.075,-0.150,-0.190,-0.228,-0.120,-0.166
HD81700,5882,4.53,0.12,0.060,0.343,0.080,0.095,0.108,0.123,0.117,0.126,0.097,0.110,0.132,0.083,0.088,0.104,0.091
HD81767,4978,4.46,0.05,0.245,0.027,0.180,0.064,0.055,0.360,0.030,0.215,0.035,0.538,0.052,0.000,0.080,0.214,0.105
HD82114,5912,4.20,0.01,0.035,-0.073,0.085,0.045,0.034,0.087,0.117,0.062,0.083,0.026,-0.009,-0.017,-0.040,0.069,0.017
HD82342,4820,4.41,-0.54,-0.190,-0.263,-0.075,-0.402,-0.213,0.190,-0.473,0.047,-0.435,0.271,-0.374,-0.657,-0.575,-0.310,-0.500
HD82516,5104,4.46,0.01,0.135,0.000,0.095,0.041,-0.048,0.183,0.048,0.129,0.093,0.409,0.042,0.000,0.030,0.165,0.045
HD82783,5318,4.41,0.21,0.480,0.393,0.375,0.317,0.169,0.423,0.283,0.326,0.190,0.594,0.239,0.170,0.323,0.456,0.302
HD82943,5989,4.43,0.26,0.345,0.233,0.240,0.269,0.248,0.320,0.318,0.250,0.272,0.270,0.273,0.220,0.340,0.294,0.301
HD8326,4971,4.48,0.02,0.065,-0.013,0.145,0.041,0.117,0.323,0.035,0.188,0.020,0.484,0.036,0.003,0.005,0.164,0.042
HD83443,5511,4.43,0.34,0.630,0.377,0.485,0.396,0.255,0.530,0.453,0.421,0.435,0.645,0.363,0.333,0.510,0.620,0.440
HD83529,5902,4.35,-0.22,-0.285,-0.147,-0.170,-0.193,-0.132,-0.160,-0.155,-0.155,-0.135,-0.228,-0.236,-0.203,-0.378,-0.250,-0.249
HD8389A,5283,4.37,0.34,0.610,0.410,0.545,0.428,0.278,0.603,0.475,0.410,0.328,0.704,0.358,0.327,0.440,0.657,0.452
HD8406,5726,4.50,-0.10,-0.135,-0.087,-0.125,-0.104,-0.075,-0.093,-0.108,-0.061,-0.082,-0.100,-0.083,-0.120,-0.148,-0.137,-0.138
HD84305,5963,4.51,-0.23,-0.210,-0.197,-0.255,-0.179,-0.158,-0.137,-0.130,-0.151,-0.158,-0.193,-0.241,-0.187,-0.323,-0.180,-0.247
HD84627B,6113,4.50,-0.28,-0.240,-0.270,-0.360,-0.271,-0.202,-0.155,-0.225,-0.231,-0.193,-0.303,-0.286,-0.240,-0.348,-0.343,-0.299
HD85119,5425,4.52,-0.20,-0.250,-0.207,-0.195,-0.190,-0.165,-0.187,-0.253,-0.154,-0.197,-0.146,-0.168,-0.177,-0.285,-0.263,-0.259
HD8535,6158,4.42,0.04,0.065,0.037,0.000,0.043,0.056,0.067,0.073,0.043,0.065,0.021,0.031,0.053,0.045,-0.007,0.031
HD85390,5186,4.41,-0.07,0.045,0.010,0.010,-0.040,-0.061,0.047,-0.160,0.045,-0.097,0.260,-0.022,-0.113,-0.028,0.010,-0.056
HD85512,4715,4.39,-0.32,0.100,-0.130,0.230,-0.356,0.009,0.807,-0.127,0.337,-0.172,0.559,-0.146,-0.400,-0.373,-0.029,-0.265
HD85725,5986,3.95,0.15,0.220,0.127,0.175,0.209,0.168,0.180,0.225,0.157,0.168,0.155,0.121,0.203,0.183,0.164,0.161
HD86065,5026,4.50,-0.06,0.045,-0.060,0.100,0.029,-0.081,0.273,-0.045,0.119,-0.070,0.434,-0.015,-0.140,-0.063,0.096,-0.031
HD86140,4903,4.55,-0.25,-0.155,-0.223,-0.135,-0.236,-0.236,0.047,-0.248,-0.023,-0.262,0.261,-0.197,-0.243,-0.283,-0.166,-0.242
HD86171,5400,4.47,-0.25,-0.245,-0.200,-0.200,-0.226,-0.172,-0.230,-0.273,-0.164,-0.230,-0.160,-0.223,-0.280,-0.298,-0.280,-0.293
HD8638,5507,4.43,-0.38,-0.220,-0.123,-0.085,-0.231,-0.231,-0.183,-0.230,-0.100,-0.207,-0.186,-0.344,-0.400,-0.530,-0.255,-0.350
HD86652,5934,4.47,0.13,0.175,0.093,0.100,0.114,0.114,0.160,0.125,0.122,0.105,0.139,0.137,0.090,0.170,0.173,0.129
HD870,5381,4.42,-0.10,-0.115,-0.060,-0.080,-0.105,-0.044,-0.080,-0.153,-0.017,-0.117,0.014,-0.067,-0.130,-0.110,-0.110,-0.140
HD87320,5639,4.41,-0.17,-0.075,-0.017,0.035,-0.078,-0.113,-0.030,-0.042,-0.020,-0.042,-0.061,-0.154,-0.013,-0.233,-0.063,-0.162
HD87521,4854,4.37,-0.04,0.080,-0.153,0.045,-0.032,-0.013,0.230,-0.115,0.133,-0.102,0.414,-0.002,-0.073,-0.068,0.027,-0.029
HD87838,6118,4.47,-0.40,-0.335,-0.293,-0.370,-0.347,-0.300,-0.090,-0.302,-0.285,-0.282,-0.329,-0.419,-0.397,-0.525,-0.414,-0.390
HD88084,5766,4.42,-0.10,-0.035,-0.047,-0.040,-0.073,-0.056,-0.047,-0.037,-0.040,-0.052,-0.060,-0.085,-0.083,-0.115,-0.073,-0.091
HD88218,5878,4.16,-0.14,-0.100,-0.047,-0.075,-0.093,-0.075,-0.047,-0.050,-0.076,-0.057,-0.121,-0.143,-0.127,-0.233,-0.144,-0.142
HD8828,5403,4.46,-0.16,-0.140,-0.110,-0.075,-0.133,-0.142,-0.103,-0.140,-0.059,-0.133,-0.020,-0.138,-0.157,-0.175,-0.112,-0.163
HD88474,6122,3.91,-0.48,-0.545,-0.523,-0.490,-0.409,-0.395,-0.350,-0.420,-0.366,-0.352,-0.532,-0.461,-0.093,-0.630,-0.393,-0.498
HD8859,5502,4.41,-0.09,-0.070,-0.067,-0.005,-0.077,-0.071,-0.053,-0.078,-0.044,-0.058,0.007,-0.074,-0.080,-0.068,-0.049,-0.082
HD88656,5150,4.44,-0.11,-0.110,-0.100,-0.090,-0.124,-0.069,-0.087,-0.157,-0.030,-0.158,0.115,-0.085,-0.127,-0.120,-0.097,-0.139
HD88725,5654,4.49,-0.64,-0.530,-0.370,-0.445,-0.457,-0.455,-0.450,-0.485,-0.382,-0.408,-0.534,-0.630,-0.573,-0.840,-0.550,-0.631
HD88742,5981,4.52,-0.02,-0.045,-0.053,-0.095,-0.032,-0.005,-0.010,-0.053,-0.037,-0.048,-0.069,-0.007,-0.023,-0.103,-0.076,-0.048
HD88885,5361,4.46,-0.11,-0.120,-0.060,-0.045,-0.110,-0.097,-0.093,-0.140,-0.064,-0.102,0.015,-0.091,-0.110,-0.123,-0.091,-0.131
HD8912,5211,4.43,-0.07,-0.035,-0.053,-0.025,-0.048,-0.037,-0.013,-0.098,0.019,-0.047,0.170,-0.044,-0.047,-0.018,-0.049,-0.082
HD89147,5310,4.45,-0.09,-0.055,-0.070,-0.025,-0.104,-0.075,-0.050,-0.125,-0.004,-0.100,0.081,-0.062,-0.053,-0.098,-0.066,-0.111
HD8930,5687,4.52,-0.23,-0.265,-0.253,-0.300,-0.249,-0.213,-0.220,-0.236,-0.168,-0.182,-0.254,-0.194,-0.143,-0.290,-0.255,-0.282
HD89454,5728,4.47,0.12,0.105,0.107,0.100,0.117,0.131,0.153,0.137,0.163,0.090,0.160,0.143,0.087,0.130,0.119,0.121
HD89668,4811,4.45,-0.11,0.215,-0.043,0.245,-0.134,0.032,0.670,-0.082,0.286,-0.068,0.595,-0.006,-0.220,-0.153,0.104,-0.084
HD89749,5443,4.48,-0.29,-0.305,-0.260,-0.235,-0.265,-0.243,-0.247,-0.282,-0.186,-0.270,-0.199,-0.262,-0.230,-0.330,-0.271,-0.306
HD89839,6314,4.49,0.04,0.050,0.007,-0.055,0.052,0.048,0.095,0.068,0.058,0.068,0.029,0.022,0.060,-0.025,-0.033,0.012
HD8985,6473,4.96,-0.01,0.000,-0.013,-0.120,-0.005,-0.050,0.190,0.034,0.100,0.285,0.127,0.052,-0.057,0.005,-0.010,-0.035
HD89920,4827,4.32,-0.03,0.110,-0.003,0.120,-0.015,-0.016,0.367,-0.063,0.180,-0.050,0.531,-0.026,-0.093,-0.013,0.141,0.021
HD89965,5039,4.48,-0.09,0.130,-0.110,0.015,-0.059,-0.042,0.123,-0.163,0.059,-0.133,0.348,-0.044,-0.087,-0.103,-0.010,-0.104
HD90081,5912,4.34,-0.20,-0.210,-0.137,-0.275,-0.178,-0.131,-0.250,-0.152,-0.162,-0.165,-0.203,-0.231,-0.193,-0.265,-0.210,-0.222
HD90133,5064,4.42,-0.16,-0.080,-0.127,-0.055,-0.146,-0.123,0.030,-0.177,0.023,-0.172,0.263,-0.113,-0.197,-0.123,-0.084,-0.159
HD90156,5599,4.48,-0.24,-0.235,-0.150,-0.150,-0.209,-0.193,-0.160,-0.185,-0.140,-0.183,-0.178,-0.230,-0.237,-0.325,-0.213,-0.241
HD90422,6085,4.14,-0.62,-0.460,-0.450,-0.580,-0.504,-0.515,99.99,-0.497,-0.501,-0.472,-0.590,-0.645,-0.587,-0.743,-0.528,-0.616
HD90702,5760,4.56,0.20,0.240,0.157,0.180,0.163,0.205,0.267,0.268,0.222,0.188,0.291,0.225,0.193,0.255,0.227,0.206
HD90711,5444,4.40,0.24,0.450,0.297,0.305,0.329,0.162,0.367,0.308,0.285,0.298,0.479,0.248,0.180,0.368,0.409,0.315
